amplicon	ERR0000001	ERR0000002	ERR0000003	total
ERR3:299700.722176	0	0	4	4
ERR3:309140.674609	0	0	4	4
ERR3:320060.669592	0	0	4	4
ERR3:344810.675048	0	0	4	4
ERR3:370480.618102	0	0	4	4
ERR3:387850.710305	0	0	4	4
ERR3:416200.662890	0	0	4	4
ERR3:433440.696777	0	0	4	4
ERR3:448330.616435	0	0	4	4
ERR3:525400.741259	0	0	4	4
ERR3:549700.690757	0	0	4	4
ERR3:5930.689302	0	0	4	4
ERR3:615240.610347	0	0	4	4
ERR3:700210.741079	0	0	4	4
ERR3:72900.710917	0	0	4	4
ERR3:818170.702281	0	0	4	4
ERR3:8760.714938	0	0	4	4
ERR3:881430.692649	0	0	4	4
ERR3:886710.703739	0	0	4	4
ERR3:895970.717062	0	0	4	4
ERR1:102850.715572	3	0	0	3
ERR1:104460.728906	3	0	0	3
ERR1:105340.627199	3	0	0	3
ERR1:1060.709922	3	0	0	3
ERR1:107610.697099	3	0	0	3
ERR1:107770.722905	3	0	0	3
ERR1:108420.688464	3	0	0	3
ERR1:111340.711106	3	0	0	3
ERR1:111430.616104	3	0	0	3
ERR1:113540.730854	3	0	0	3
ERR1:11570.729953	3	0	0	3
ERR1:118730.726061	3	0	0	3
ERR1:11940.716645	3	0	0	3
ERR1:123800.725487	3	0	0	3
ERR1:12470.741437	3	0	0	3
ERR1:129620.730618	3	0	0	3
ERR1:129940.739230	3	0	0	3
ERR1:133100.728947	3	0	0	3
ERR1:138520.694646	3	0	0	3
ERR1:140180.702176	3	0	0	3
ERR1:142690.698211	3	0	0	3
ERR1:144780.720232	3	0	0	3
ERR1:1480.702248	3	0	0	3
ERR1:148920.736958	3	0	0	3
ERR1:151180.720750	3	0	0	3
ERR1:15370.733765	3	0	0	3
ERR1:15620.703465	3	0	0	3
ERR1:158190.690748	3	0	0	3
ERR1:159710.736639	3	0	0	3
ERR1:16080.724332	3	0	0	3
ERR1:161790.733870	3	0	0	3
ERR1:16190.737447	3	0	0	3
ERR1:161970.728252	3	0	0	3
ERR1:16420.720353	3	0	0	3
ERR1:166790.708987	3	0	0	3
ERR1:169470.732686	3	0	0	3
ERR1:171050.709981	3	0	0	3
ERR1:17180.729663	3	0	0	3
ERR1:177410.725943	3	0	0	3
ERR1:17960.712067	3	0	0	3
