OTU	amplicon	ERR1308288	total
405	ERR1308288:1140760.609452	1	1
406	ERR1308288:1140810.615798	1	1
407	ERR1308288:1141660.664138	1	1
408	ERR1308288:1141710.615706	1	1
411	ERR1308288:1143880.641882	1	1
413	ERR1308288:1144810.679520	1	1
414	ERR1308288:1145780.656048	2	2
415	ERR1308288:1148890.666401	1	1
416	ERR1308288:1149000.700865	1	1
417	ERR1308288:1149580.607145	1	1
418	ERR1308288:1149630.635085	1	1
419	ERR1308288:1149640.621696	1	1
420	ERR1308288:1149710.601967	1	1
421	ERR1308288:1149820.613708	1	1
422	ERR1308288:1150050.657707	1	1
423	ERR1308288:1150080.605356	1	1
424	ERR1308288:1150170.611008	1	1
425	ERR1308288:1150340.642565	1	1
427	ERR1308288:1151330.626380	1	1
428	ERR1308288:1151530.636468	1	1
429	ERR1308288:1151870.609073	1	1
430	ERR1308288:115230.612963	1	1
431	ERR1308288:1152500.654981	1	1
432	ERR1308288:1152780.648732	1	1
433	ERR1308288:1153080.621526	1	1
434	ERR1308288:1153910.635317	1	1
435	ERR1308288:11540.631550	1	1
436	ERR1308288:1154150.607777	1	1
437	ERR1308288:1155260.632969	2	2
439	ERR1308288:1155800.619854	1	1
440	ERR1308288:1156030.617416	1	1
442	ERR1308288:1156840.639469	1	1
443	ERR1308288:1156950.606605	1	1
444	ERR1308288:1157270.612538	1	1
445	ERR1308288:1157750.617125	1	1
447	ERR1308288:1158390.643016	1	1
450	ERR1308288:1159820.601983	1	1
452	ERR1308288:1160690.604096	1	1
453	ERR1308288:1160960.678148	1	1
454	ERR1308288:1161240.659485	1	1
455	ERR1308288:1161640.610180	1	1
456	ERR1308288:1161820.619420	1	1
457	ERR1308288:1162370.661588	1	1
458	ERR1308288:1162420.626332	1	1
459	ERR1308288:1162510.642907	1	1
460	ERR1308288:1162860.631724	1	1
461	ERR1308288:1162940.600956	1	1
462	ERR1308288:1163490.737885	2	2
463	ERR1308288:1163780.655784	1	1
464	ERR1308288:116380.630233	1	1
465	ERR1308288:1164240.640878	1	1
467	ERR1308288:1164620.619412	1	1
468	ERR1308288:1165640.642392	1	1
469	ERR1308288:1165880.699358	2	2
470	ERR1308288:1166140.616853	1	1
471	ERR1308288:116620.707460	1	1
474	ERR1308288:1167680.648262	1	1
475	ERR1308288:1167890.620318	1	1
477	ERR1308288:1168140.609908	1	1
478	ERR1308288:1168490.684322	1	1
479	ERR1308288:1168550.642346	1	1
480	ERR1308288:1168590.622043	1	1
481	ERR1308288:116880.606244	1	1
482	ERR1308288:1168870.657157	1	1
483	ERR1308288:1168880.663063	1	1
484	ERR1308288:1169280.621008	1	1
485	ERR1308288:1169390.619862	1	1
486	ERR1308288:1169410.607127	1	1
488	ERR1308288:1170420.701564	2	2
489	ERR1308288:1170500.719528	1	1
490	ERR1308288:1170650.672809	1	1
491	ERR1308288:1170750.643863	2	2
492	ERR1308288:1170930.646795	1	1
493	ERR1308288:1170940.711123	1	1
494	ERR1308288:1172330.624117	2	2
495	ERR1308288:1172610.621904	1	1
496	ERR1308288:1172730.600964	1	1
497	ERR1308288:1172950.605611	1	1
498	ERR1308288:11730.610364	2	2
499	ERR1308288:1173330.608587	1	1
500	ERR1308288:1173390.635004	1	1
501	ERR1308288:1173690.619914	1	1
502	ERR1308288:1173870.625226	1	1
503	ERR1308288:1174280.620982	1	1
504	ERR1308288:1174670.682109	1	1
505	ERR1308288:1175010.608737	1	1
506	ERR1308288:1175270.722560	2	2
508	ERR1308288:1175390.615919	1	1
509	ERR1308288:1175540.674941	1	1
511	ERR1308288:1175880.691458	2	2
512	ERR1308288:117590.639719	1	1
513	ERR1308288:1176110.606032	1	1
514	ERR1308288:1176310.606261	1	1
515	ERR1308288:1176820.603560	1	1
516	ERR1308288:1177300.618189	1	1
517	ERR1308288:1177480.640300	1	1
518	ERR1308288:1177630.614695	1	1
519	ERR1308288:1177780.600119	1	1
521	ERR1308288:1178200.610668	1	1
522	ERR1308288:1179570.613991	1	1
523	ERR1308288:1180030.608294	1	1
524	ERR1308288:1180170.623284	1	1
525	ERR1308288:1180200.618589	1	1
526	ERR1308288:1180470.622675	1	1
527	ERR1308288:1180600.687168	1	1
528	ERR1308288:1181370.687302	1	1
530	ERR1308288:1181850.621759	1	1
531	ERR1308288:1181860.630312	1	1
532	ERR1308288:1181890.631529	1	1
533	ERR1308288:1181930.617747	1	1
534	ERR1308288:1182420.690439	1	1
535	ERR1308288:1182570.699368	1	1
536	ERR1308288:118300.647580	1	1
537	ERR1308288:1184240.604211	1	1
538	ERR1308288:1184630.603853	1	1
539	ERR1308288:1184710.632497	2	2
540	ERR1308288:118490.605839	1	1
541	ERR1308288:118500.632822	1	1
542	ERR1308288:1185360.633354	1	1
543	ERR1308288:1185920.642738	1	1
544	ERR1308288:1185950.611809	1	1
545	ERR1308288:1186180.601085	1	1
547	ERR1308288:1186200.619139	1	1
548	ERR1308288:1186410.638107	1	1
549	ERR1308288:1186650.631899	1	1
550	ERR1308288:118670.616391	1	1
552	ERR1308288:1187180.650748	1	1
553	ERR1308288:1187970.631134	1	1
555	ERR1308288:1188360.638768	2	2
556	ERR1308288:1189000.624039	1	1
557	ERR1308288:1189110.691698	1	1
558	ERR1308288:1189380.678668	1	1
559	ERR1308288:1189410.643765	1	1
560	ERR1308288:1189900.608116	1	1
562	ERR1308288:1190320.690339	1	1
563	ERR1308288:1190400.625245	1	1
564	ERR1308288:1190980.623264	1	1
565	ERR1308288:1191140.620738	1	1
566	ERR1308288:1191700.629937	1	1
567	ERR1308288:1192290.608056	1	1
568	ERR1308288:1192340.604228	1	1
569	ERR1308288:1192830.642353	1	1
570	ERR1308288:1192940.624023	1	1
571	ERR1308288:1193220.628958	1	1
572	ERR1308288:1194020.612316	1	1
574	ERR1308288:1195220.622372	1	1
575	ERR1308288:119530.624867	1	1
576	ERR1308288:1195780.637478	1	1
577	ERR1308288:1196150.661909	2	2
578	ERR1308288:1196380.610233	1	1
579	ERR1308288:1196700.617781	1	1
581	ERR1308288:1197670.602654	1	1
582	ERR1308288:1198030.612127	1	1
583	ERR1308288:1198450.612232	2	2
584	ERR1308288:1198770.602357	1	1
585	ERR1308288:1198980.615662	1	1
586	ERR1308288:1199050.636932	1	1
588	ERR1308288:1199770.651430	2	2
589	ERR1308288:1199840.614161	1	1
592	ERR1308288:1200870.613477	1	1
593	ERR1308288:1201100.693406	2	2
594	ERR1308288:1201610.622287	2	2
596	ERR1308288:120270.641757	1	1
598	ERR1308288:1204110.623034	1	1
599	ERR1308288:1204530.620399	1	1
601	ERR1308288:1205280.648795	1	1
602	ERR1308288:1205480.649250	1	1
603	ERR1308288:1205620.648209	1	1
604	ERR1308288:1206440.617098	1	1
605	ERR1308288:1206650.653060	1	1
606	ERR1308288:1206750.636055	1	1
607	ERR1308288:1206840.645565	2	2
608	ERR1308288:1206910.629511	1	1
610	ERR1308288:1207230.609511	1	1
611	ERR1308288:1207310.606130	1	1
612	ERR1308288:1207640.619471	1	1
613	ERR1308288:1208470.611271	1	1
614	ERR1308288:1208590.633834	1	1
615	ERR1308288:1208860.610139	1	1
616	ERR1308288:1209190.683767	1	1
618	ERR1308288:1210000.640975	1	1
619	ERR1308288:1210090.623871	1	1
620	ERR1308288:1210130.630495	1	1
621	ERR1308288:1210250.663404	1	1
622	ERR1308288:1210810.611824	1	1
623	ERR1308288:1210960.668612	1	1
624	ERR1308288:12110.632232	1	1
625	ERR1308288:1211320.609716	1	1
626	ERR1308288:1212330.666108	1	1
627	ERR1308288:121280.658231	1	1
628	ERR1308288:1212850.617921	1	1
629	ERR1308288:1212960.602078	1	1
630	ERR1308288:1213880.601925	1	1
631	ERR1308288:1214200.662844	1	1
632	ERR1308288:1214220.676750	2	2
633	ERR1308288:1214340.623191	1	1
634	ERR1308288:1214880.616079	1	1
635	ERR1308288:1215000.680322	2	2
636	ERR1308288:121520.646469	1	1
637	ERR1308288:1215790.700701	1	1
638	ERR1308288:121580.629098	2	2
639	ERR1308288:1215800.633797	1	1
640	ERR1308288:1216290.641674	1	1
641	ERR1308288:1216520.621265	1	1
642	ERR1308288:1216530.634565	1	1
643	ERR1308288:1216600.634880	1	1
644	ERR1308288:1216910.604583	1	1
645	ERR1308288:1217060.601848	1	1
646	ERR1308288:1217160.733686	2	2
647	ERR1308288:1217790.692066	2	2
648	ERR1308288:1218230.628095	1	1
649	ERR1308288:1218350.646340	1	1
650	ERR1308288:121850.632180	1	1
651	ERR1308288:1218610.613547	1	1
652	ERR1308288:1218840.618518	1	1
653	ERR1308288:1219730.610704	1	1
654	ERR1308288:1219740.669634	1	1
655	ERR1308288:1219840.614953	1	1
656	ERR1308288:1220100.609817	1	1
657	ERR1308288:1220310.638167	1	1
659	ERR1308288:1221090.608597	1	1
660	ERR1308288:1221300.663069	1	1
661	ERR1308288:1221500.699172	1	1
662	ERR1308288:1221540.611662	1	1
663	ERR1308288:1222000.608820	1	1
664	ERR1308288:1222240.630281	1	1
665	ERR1308288:1222640.623720	1	1
666	ERR1308288:1223430.618016	1	1
668	ERR1308288:1225040.677145	1	1
669	ERR1308288:1226120.665653	1	1
671	ERR1308288:122630.674419	1	1
672	ERR1308288:1226340.651487	1	1
673	ERR1308288:1227970.615834	1	1
674	ERR1308288:1228560.627417	1	1
676	ERR1308288:122990.624945	1	1
677	ERR1308288:1229940.703452	1	1
678	ERR1308288:1230040.670015	1	1
679	ERR1308288:1231360.618688	1	1
680	ERR1308288:1232140.637451	1	1
681	ERR1308288:1232620.618822	1	1
682	ERR1308288:1233020.605087	1	1
683	ERR1308288:1233430.607271	1	1
684	ERR1308288:1234230.631949	1	1
685	ERR1308288:1234550.640463	1	1
686	ERR1308288:1234720.637699	1	1
687	ERR1308288:1234770.696621	1	1
688	ERR1308288:1235370.616387	1	1
689	ERR1308288:1235430.687798	1	1
690	ERR1308288:1235640.613724	1	1
691	ERR1308288:1235720.619518	1	1
692	ERR1308288:1236450.657987	1	1
693	ERR1308288:1236610.653536	1	1
694	ERR1308288:1236800.631761	1	1
695	ERR1308288:1237290.608413	1	1
696	ERR1308288:1237560.602086	2	2
