OTU	amplicon	ERR0000001	total
642	ERR1:142080.615719	1	1
643	ERR1:14220.617660	1	1
644	ERR1:142210.623440	1	1
645	ERR1:142370.647151	1	1
647	ERR1:142400.636827	2	2
648	ERR1:142490.626354	1	1
649	ERR1:142530.651217	1	1
650	ERR1:142680.603919	1	1
651	ERR1:142700.637483	1	1
652	ERR1:142730.628928	1	1
653	ERR1:142740.681737	1	1
654	ERR1:142840.656819	1	1
655	ERR1:142890.702640	1	1
656	ERR1:142920.676389	1	1
658	ERR1:14300.663035	1	1
659	ERR1:143030.660132	1	1
660	ERR1:143060.652175	1	1
661	ERR1:14310.692409	1	1
663	ERR1:143110.701395	2	2
664	ERR1:143170.709317	2	2
665	ERR1:143180.628984	1	1
666	ERR1:143260.629387	1	1
667	ERR1:143320.672203	1	1
668	ERR1:143400.740926	1	1
669	ERR1:143520.637344	1	1
670	ERR1:143650.650707	1	1
671	ERR1:143690.652816	1	1
672	ERR1:143770.672984	1	1
673	ERR1:143990.612259	2	2
675	ERR1:144230.620969	1	1
676	ERR1:144330.697379	1	1
677	ERR1:144430.709510	1	1
678	ERR1:144470.677518	1	1
679	ERR1:144520.663752	1	1
680	ERR1:144580.619385	1	1
681	ERR1:144620.728527	1	1
682	ERR1:144680.660793	1	1
683	ERR1:144730.631023	1	1
684	ERR1:144800.710590	2	2
686	ERR1:145070.714172	1	1
689	ERR1:145190.610018	1	1
690	ERR1:145210.705560	1	1
691	ERR1:145280.706938	1	1
692	ERR1:145300.663699	1	1
693	ERR1:145340.625504	1	1
694	ERR1:145400.653487	2	2
696	ERR1:145620.631430	1	1
697	ERR1:145640.661331	1	1
698	ERR1:145650.661214	2	2
699	ERR1:14570.665403	1	1
700	ERR1:145760.663676	1	1
702	ERR1:145850.685889	1	1
703	ERR1:145880.624870	1	1
704	ERR1:145910.640663	1	1
705	ERR1:145980.634150	1	1
706	ERR1:146090.710641	2	2
707	ERR1:146140.665559	2	2
708	ERR1:146170.633464	1	1
709	ERR1:146240.627711	1	1
710	ERR1:146270.632693	1	1
711	ERR1:146380.638393	1	1
712	ERR1:146400.734450	1	1
714	ERR1:146590.650225	2	2
715	ERR1:146610.672560	2	2
716	ERR1:146630.667585	1	1
717	ERR1:14670.654018	1	1
718	ERR1:146700.648049	1	1
719	ERR1:146720.699590	1	1
721	ERR1:147150.715772	1	1
722	ERR1:147210.602283	1	1
723	ERR1:147260.619026	1	1
726	ERR1:147600.640128	1	1
727	ERR1:147800.630424	1	1
728	ERR1:14800.710155	1	1
729	ERR1:148160.644069	1	1
731	ERR1:148210.656857	2	2
732	ERR1:148220.662580	1	1
733	ERR1:148270.694123	1	1
734	ERR1:148350.671952	1	1
735	ERR1:14850.635470	1	1
736	ERR1:148560.700214	1	1
737	ERR1:148640.650684	1	1
738	ERR1:148730.622992	1	1
739	ERR1:148780.699876	1	1
740	ERR1:148850.721737	1	1
741	ERR1:14890.714738	1	1
743	ERR1:148980.639413	1	1
744	ERR1:149170.675893	1	1
746	ERR1:149540.629820	1	1
747	ERR1:149550.639604	1	1
748	ERR1:149570.684006	1	1
749	ERR1:14960.613804	1	1
750	ERR1:149650.618276	1	1
751	ERR1:149670.660344	1	1
752	ERR1:149880.637756	1	1
753	ERR1:149950.604151	1	1
755	ERR1:15000.731241	1	1
756	ERR1:150100.678744	2	2
757	ERR1:150170.712723	1	1
758	ERR1:150510.703372	1	1
759	ERR1:150700.706586	1	1
760	ERR1:150760.623515	2	2
761	ERR1:150800.664698	1	1
762	ERR1:150820.684428	1	1
763	ERR1:151020.661826	1	1
764	ERR1:151140.718302	1	1
765	ERR1:151160.736845	1	1
766	ERR1:15120.721433	1	1
767	ERR1:151200.734101	1	1
768	ERR1:151250.654218	1	1
769	ERR1:151610.713090	1	1
770	ERR1:15170.674927	1	1
771	ERR1:151940.608279	1	1
772	ERR1:151950.694024	1	1
773	ERR1:152100.657781	2	2
774	ERR1:152160.607239	2	2
775	ERR1:152170.707622	1	1
776	ERR1:152220.725064	1	1
777	ERR1:152270.619158	1	1
780	ERR1:152700.722542	1	1
782	ERR1:152850.609877	1	1
783	ERR1:152910.605355	1	1
785	ERR1:153020.621068	1	1
786	ERR1:153100.659309	1	1
787	ERR1:153110.716335	1	1
788	ERR1:153140.713851	1	1
789	ERR1:153220.611751	1	1
790	ERR1:153610.689661	1	1
791	ERR1:153620.661027	1	1
792	ERR1:153830.619965	1	1
793	ERR1:153900.631163	1	1
794	ERR1:15400.677477	1	1
795	ERR1:154110.660012	1	1
796	ERR1:154170.634034	1	1
797	ERR1:154180.639186	1	1
798	ERR1:154200.612683	1	1
799	ERR1:154210.643472	1	1
800	ERR1:154240.629531	1	1
801	ERR1:154330.648765	1	1
802	ERR1:154510.621042	1	1
803	ERR1:154960.722859	2	2
809	ERR1:155500.626286	2	2
810	ERR1:155600.608321	1	1
811	ERR1:15570.698726	1	1
813	ERR1:155780.600236	1	1
814	ERR1:155890.618232	1	1
815	ERR1:155970.610639	1	1
816	ERR1:156120.700542	1	1
817	ERR1:156210.640456	1	1
818	ERR1:156220.601184	1	1
819	ERR1:156460.651886	1	1
820	ERR1:156480.636117	1	1
821	ERR1:156510.653853	1	1
822	ERR1:156530.648580	1	1
824	ERR1:156990.668454	1	1
825	ERR1:1570.629960	1	1
826	ERR1:15700.654920	1	1
827	ERR1:157090.621605	1	1
828	ERR1:157130.647213	1	1
829	ERR1:157190.693385	1	1
831	ERR1:157450.687245	1	1
832	ERR1:157540.620850	1	1
835	ERR1:157910.660383	1	1
837	ERR1:1580.607709	1	1
838	ERR1:158010.663969	1	1
840	ERR1:158230.600445	1	1
841	ERR1:158240.651716	1	1
842	ERR1:158320.657976	1	1
844	ERR1:158680.709361	1	1
845	ERR1:15870.649511	1	1
