OTU	SRR1808872	classification
SRR11808872:2591180.631630	41	Eukaryota;Mollusca;Gastropoda;Planorbidae;Planorbula;Planorbula armigera
SRR11808872:106590.612911	40	Eukaryota;Arthropoda;Insecta;Diptera;Conopidae;Myopa;Myopa vesiculosa
SRR11808872:111120.612965	39	Eukaryota;Arthropoda;Insecta;Lepidoptera;Sesiidae;Pyropteron;Pyropteron kautzi
SRR11808872:1631040.603746	39	Eukaryota;Annelida;Haplotaxida;Naididae;Aulodrilus;Aulodrilus pluriseta
SRR11808872:2085060.600171	39	Eukaryota;Porifera;Demospongiae;Hadromerida;Tethyidae;Tethya;Tethya actinia
SRR11808872:1005650.602878	38	Eukaryota;Cnidaria;Hydrozoa;Trachymedusae;Rhopalonematidae;Pantachogon;Pantachogon haeckeli
SRR11808872:1049880.627912	38	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia lanosa
SRR11808872:109320.619583	38	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Hydractiniidae;Clava;Clava multicornis
SRR11808872:1799810.601022	38	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Eresia;Eresia nauplius
SRR11808872:107890.603614	37	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Mycalesis;Mycalesis phidon
SRR11808872:126070.620005	37	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1365510.609169	37	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Serratoparagus;Serratoparagus crenulatus II
SRR11808872:1504400.616940	37	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:109540.647603	36	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:174460.607910	36	Eukaryota;Arthropoda;Arachnida;Araneae;Salticidae;Omoedus;Omoedus papuanus
SRR11808872:1003240.628349	35	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Nitor;Nitor circumcincta
SRR11808872:1164040.601217	35	Eukaryota;Arthropoda;Insecta;Neuroptera;Osmylidae;Thyridosmylus;Thyridosmylus langii
SRR11808872:1046820.607656	34	Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Zoramia;Zoramia gilberti
SRR11808872:1084060.626895	34	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808872:1193770.622969	34	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808872:1004460.610362	33	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808872:1117990.648854	33	Eukaryota;Arthropoda;Insecta;Coleoptera;Cerambycidae;Xenohammus;Xenohammus bimaculatus
SRR11808872:1223810.611949	33	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Helicarion;Helicarion cuvieri
SRR11808872:131180.622336	33	Eukaryota;Arthropoda;Insecta;Hymenoptera;Eulophidae;Hemiptarsenus;Hemiptarsenus varicornis
SRR11808872:133990.622773	33	Eukaryota;Mollusca;Gastropoda;Conidae;Conus;Conus crocatus
SRR11808872:1700230.600966	33	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808872:2781180.616683	33	Eukaryota;Entoprocta;Loxosomatidae;Loxocorone;Loxocorone allax
SRR11808872:101390.618007	32	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1034550.623644	32	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1181530.628158	32	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya dubia
SRR11808872:2824530.608447	32	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
SRR11808872:3349810.604309	32	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Selenophanes;Selenophanes cassiope
SRR11808872:125370.600697	31	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:2022610.605479	31	Eukaryota;Mollusca;Gastropoda;Trochomorphidae;Videna;Videna planorbis
SRR11808872:2212100.617118	31	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:2614660.605590	31	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Pseudocorticium;Pseudocorticium jarrei
SRR11808872:1002650.630122	30	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1040420.635500	30	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Halistemma;Halistemma rubrum
SRR11808872:1049870.621510	30	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
SRR11808872:1016570.645319	29	Eukaryota;Cnidaria;Anthozoa;Antipatharia;Antipathidae;Stichopathes;Stichopathes lutkeni
SRR11808872:1018590.657377	29	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Lucinia;Lucinia cadma
SRR11808872:1024150.602192	29	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
SRR11808872:120830.611667	29	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Euglossa;Euglossa fuscifrons
SRR11808872:1240270.603022	29	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
SRR11808872:1302880.624949	29	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Atrapsalta (nomen nudum);Atrapsalta nigristriga (nomen nudum)
SRR11808872:2889920.625804	29	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Euglossa;Euglossa annectens
SRR11808872:6005180.612669	29	Eukaryota;Arthropoda;Insecta;Lepidoptera;Adelidae;Adela;Adela trigrapha
SRR11808872:1002090.618885	28	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
SRR11808872:1017310.608237	28	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Oscarella;Oscarella malakhovi
SRR11808872:133280.607032	28	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808872:295870.622328	28	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:3359910.615250	28	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:870700.601651	28	Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Caenorhabditis;Caenorhabditis tropicalis
SRR11808872:1008690.625346	27	Eukaryota;Arthropoda;Insecta;Coleoptera;Endomychidae;Encymon;Encymon immaculatus
SRR11808872:1014360.618862	27	Eukaryota;Arthropoda;Insecta;Hemiptera;Cercopidae;Sphenorhina;Sphenorhina rubra
SRR11808872:1034390.617813	27	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Sarsia;Sarsia princeps
SRR11808872:1045750.612552	27	Eukaryota;Mollusca;Gastropoda;Euconulidae;Coneuplecta;Coneuplecta calculosa
SRR11808872:1080880.602442	27	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808872:1184170.634232	27	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Sigalphus;Sigalphus bicolor
SRR11808872:2392970.607091	27	Eukaryota;Arthropoda;Insecta;Psocoptera;Psocidae;Psococerastis;Psococerastis albimaculata
SRR11808872:276020.635136	27	Eukaryota;Arthropoda;Insecta;Coleoptera;Cerambycidae;Tetraopes;Tetraopes mandibularis
SRR11808872:4948900.619893	27	Eukaryota;Arthropoda;Insecta;Lepidoptera;Lycaenidae;Anthene;Anthene staudingeri
SRR11808872:110990.620552	26	Eukaryota;Arthropoda;Insecta;Neuroptera;Chrysopidae;Apertochrysa;Apertochrysa albolineatoides
SRR11808872:1165000.643650	26	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
SRR11808872:116550.615480	26	Eukaryota;Arthropoda;Insecta;Coleoptera;Staphylinidae;Oreuryalea;Oreuryalea watanabei
SRR11808872:128080.600803	26	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Popplepsalta (nomen nudum);Popplepsalta decora (nomen nudum)
SRR11808872:131810.605221	26	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1587290.610686	26	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Helicarion;Helicarion mastersi
SRR11808872:1860650.613248	26	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Brassolis;Brassolis sophorae
SRR11808872:2300970.631759	26	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
SRR11808872:2775480.618801	26	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Oscarella;Oscarella malakhovi
SRR11808872:3311160.619090	26	Eukaryota;Arthropoda;Insecta;Hemiptera;Cydnidae;Macroscytus;Macroscytus gibbulus
SRR11808872:6303750.603177	26	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Fazia;Fazia micrura
SRR11808872:1112360.618264	25	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Cornuplura;Cornuplura nigroalbata
