amplicon	ERR0000001	total
ERR1:278090.607041	2	2
ERR1:278900.707240	2	2
ERR1:283470.642435	2	2
ERR1:283810.651016	2	2
ERR1:285530.621068	2	2
ERR1:290770.607347	2	2
ERR1:29290.602525	2	2
ERR1:296220.679889	2	2
ERR1:296870.683662	2	2
ERR1:298660.681551	2	2
ERR1:302270.638521	2	2
ERR1:304130.663445	2	2
ERR1:304260.602515	2	2
ERR1:305510.710757	2	2
ERR1:308410.637305	2	2
ERR1:309820.603435	2	2
ERR1:317080.607495	2	2
ERR1:319360.605961	2	2
ERR1:319820.713424	2	2
ERR1:321060.620873	2	2
ERR1:323020.635722	2	2
ERR1:324840.608540	2	2
ERR1:327120.687226	2	2
ERR1:329880.677123	2	2
ERR1:330930.607851	2	2
ERR1:331080.670630	2	2
ERR1:33140.602635	2	2
ERR1:332350.653614	2	2
ERR1:332480.691116	2	2
ERR1:33340.620490	2	2
ERR1:333430.671561	2	2
ERR1:334410.650722	2	2
ERR1:33560.635098	2	2
ERR1:336960.693100	2	2
ERR1:337030.699989	2	2
ERR1:340260.678481	2	2
ERR1:340280.644382	2	2
ERR1:342930.682682	2	2
ERR1:345140.610425	2	2
ERR1:345550.675917	2	2
ERR1:348330.634436	2	2
ERR1:349000.687766	2	2
ERR1:349520.711067	2	2
ERR1:350430.661778	2	2
ERR1:351040.667664	2	2
ERR1:353840.658891	2	2
ERR1:354340.646899	2	2
ERR1:356380.645237	2	2
ERR1:356720.698295	2	2
ERR1:357350.680323	2	2
ERR1:358570.624377	2	2
ERR1:361490.688338	2	2
ERR1:362500.614951	2	2
ERR1:363550.703794	2	2
ERR1:363680.614866	2	2
ERR1:36510.611401	2	2
ERR1:366720.682314	2	2
ERR1:368380.636509	2	2
ERR1:368550.685384	2	2
ERR1:373020.633194	2	2
ERR1:380540.683417	2	2
ERR1:382280.619265	2	2
ERR1:383330.618795	2	2
ERR1:383990.611645	2	2
ERR1:389070.653951	2	2
ERR1:391000.679223	2	2
ERR1:394240.645457	2	2
ERR1:396760.683064	2	2
ERR1:396880.654318	2	2
ERR1:399900.610163	2	2
ERR1:400170.606622	2	2
ERR1:400760.716581	2	2
ERR1:406040.714295	2	2
ERR1:406400.658215	2	2
ERR1:407130.630846	2	2
ERR1:408290.671590	2	2
ERR1:409360.659799	2	2
ERR1:409510.644875	2	2
ERR1:41210.667372	2	2
ERR1:412320.687673	2	2
ERR1:413130.684736	2	2
ERR1:418330.659699	2	2
ERR1:41920.667529	2	2
ERR1:422010.600603	2	2
ERR1:422070.612965	2	2
ERR1:42290.681306	2	2
ERR1:427240.650230	2	2
ERR1:427740.633133	2	2
ERR1:428320.625208	2	2
ERR1:428590.611166	2	2
ERR1:434490.687997	2	2
ERR1:436840.672961	2	2
