OTU	ERR1308239	classification
ERR1308239:1114950.613144	20	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Phortica;Phortica fangae
ERR1308239:1071550.601681	19	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila pseudobaimaii
ERR1308239:1072850.613552	19	Eukaryota;Arthropoda;Insecta;Diptera;Sciomyzidae;Pherbellia;Pherbellia silana
ERR1308239:119930.610170	19	Eukaryota;Mollusca;Gastropoda;Nudibranchia;Polyceridae;Roboastra;Roboastra europaea
ERR1308239:16930.618377	19	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes durelli
ERR1308239:1017820.616737	18	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Polypedilum;Pentapedilum sordens
ERR1308239:2110930.723201	18	Eukaryota;Mollusca;Gastropoda;Bradybaenidae;Dolicheulota;Dolicheulota formosensis
ERR1308239:1032170.610424	17	Eukaryota;Porifera;Demospongiae;Verongida;Aplysinidae;Aplysina;Aplysina cauliformis
ERR1308239:1040380.606500	17	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila karakasa
ERR1308239:1205520.609931	17	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Opius;Opius pactus
ERR1308239:1006780.602126	16	Eukaryota;Nematoda;Chromadorea;Rhabditida;Protostrongylidae;Protostrongylus;Protostrongylus rufescens
ERR1308239:1112700.613825	15	Eukaryota;Mollusca;Gastropoda;Vertiginidae;Vertigo;Vertigo pusilla
ERR1308239:1114310.610248	15	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308239:1152410.610058	15	Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;Euryades;Euryades duponchelii
ERR1308239:1260730.607197	15	Eukaryota;Arthropoda;Ostracoda;Podocopida;Cyprididae;Cypridopsis;Cypridopsis vidua
ERR1308239:140500.600305	15	Eukaryota;Entoprocta;Loxosomatidae;Loxocorone;Loxocorone allax
ERR1308239:1035890.720797	14	Eukaryota;Nematoda;Chromadorea;Rhabditida;Trichostrongylidae;Trichostrongylus;Trichostrongylus vitrinus
ERR1308239:1048880.623666	14	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Thienemanniella;Thienemanniella xena
ERR1308239:1455260.715140	14	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Axinella;Axinella corrugata
ERR1308239:1004310.618628	13	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR1308239:1097720.612556	13	Eukaryota;Arthropoda;Insecta;Lepidoptera;Tortricidae;Acleris;Acleris braunana
ERR1308239:111010.622563	13	Eukaryota;Entoprocta;Loxosomatidae;Loxocorone;Loxocorone allax
ERR1308239:14600.604511	13	Eukaryota;Nemertea;Enopla;Monostilifera;Prosorhochmidae;Prosadenoporus;Prosadenoporus spectaculum
ERR1308239:1001660.638789	12	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes putnami
