OTU	ERR0000001	ERR0000002	ERR0000003	ERR0000004	ERR0000005	ERR0000006	ERR0000007	ERR0000008	ERR0000009	ERR0000010	ERR0000011	ERR0000012	ERR0000013	ERR0000014	ERR0000015	ERR0000016	ERR0000017	ERR0000018	ERR0000019	ERR0000020	ERR0000021	ERR0000022	ERR0000023	ERR0000024	ERR0000025	ERR0000026	ERR0000027	ERR0000028	ERR0000029	ERR0000030	ERR0000031	ERR0000032	ERR0000033	ERR0000034	ERR0000035	ERR0000036	ERR0000037	ERR0000038	ERR0000039	ERR0000040	ERR0000044	ERR0000045	ERR0000046	ERR0000069	ERR0000070	ERR0000071	ERR0000091	ERR0000092	ERR0000093	ERR0000094	ERR0000095	ERR0000096	ERR0000097	ERR0000098	ERR0000099	ERR0000100	ERR0000101	ERR0000102	ERR0000103	ERR0000104	ERR0000105	ERR0000106	ERR0000107	ERR0000108	ERR0000109	ERR0000110	ERR0000111	ERR0000112	ERR0000113	ERR0000114	ERR0000115	ERR0000116	ERR0000117	ERR0000118	ERR0000119	ERR0000120	ERR0000121	ERR0000122	ERR0000123	ERR0000124	ERR0000125	ERR0000126	ERR0000127	ERR0000128	ERR0000129	ERR0000130	ERR0000131	ERR0000132	ERR0000133	ERR0000134	ERR0000135	ERR0000136	ERR0000137	ERR0000138	ERR0000139	ERR0000140	ERR0000141	ERR0000142	ERR0000143	ERR0000144	ERR0000145	ERR0000146	ERR0000147	classification
ERR101:29370.719403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	357	0	0	0	0	0	3	0	0	9386	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sundasalanx;Sundasalanx mekongensis
ERR117:32930.667506	0	842	624	225	747	430	197	0	2	0	403	312	122	0	0	82	47	22	6	9	8	1	0	1	0	0	0	0	0	3	6	0	60	69	1	44	37	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	718	211	146	131	66	0	182	135	115	90	80	56	0	166	58	68	597	117	70	11	600	206	165	427	220	271	0	0	44	19	33	12	4	13	0	0	0	0	Eukaryota;Cnidaria;Calicogorgia;Calicogorgia granulosa
ERR105:119220.690762	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	36	26	0	990	0	0	0	0	0	0	11	295	0	0	611	0	868	3914	0	5	0	1	680	0	0	0	0	0	0	0	0	0	0	0	37	613	0	320	0	264	22	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	619	0	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Mycetophilidae;Exechia;Exechia confinis
ERR139:39680.646500	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	722	173	680	804	177	1216	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	1	10	9	8	0	1	1	2	2	4	2	0	3	1	5	14	7	7	0	15	16	12	4	3	1	0	0	1054	1000	1139	704	516	750	6	3	15	0	Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Ixodes;Ixodes uriae
ERR107:29290.712301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8784	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sundasalanx;Sundasalanx mekongensis
ERR111:311330.726815	0	1288	193	366	698	133	232	0	0	0	312	72	137	0	0	36	7	11	2	0	1	0	1	0	0	0	0	0	0	0	0	0	17	31	0	45	26	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	93	341	84	93	133	2	118	91	246	88	63	216	0	155	81	323	207	100	220	1	233	155	458	213	181	400	2	0	16	10	8	3	1	0	0	0	0	0	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Helicarion;Helicarion cuvieri
ERR109:393770.721932	0	96	25	33	186	65	77	1	0	0	162	73	96	0	0	4	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	7	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	721	1012	578	205	251	164	0	488	492	335	283	203	182	0	102	58	61	460	227	109	0	350	210	171	162	155	104	1	0	3	2	1	0	0	1	0	0	0	0	Eukaryota;Nemertea;Enopla;Monostilifera;Prosorhochmidae;Prosadenoporus;Prosadenoporus spectaculum
ERR95:39410.727563	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	218	192	0	2	0	680	209	489	118	3126	491	2036	1	3	2	0	0	1	1	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	Eukaryota;Cnidaria;Calicogorgia;Calicogorgia granulosa
ERR70:47430.647498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	4	914	725	416	257	177	84	0	0	0	0	953	471	943	1024	946	704	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Plakina;Plakina monolopha
ERR133:228020.712453	0	542	280	392	368	149	278	0	0	1	167	129	180	0	0	34	20	22	0	0	2	1	0	0	0	0	0	0	0	0	0	0	10	10	0	28	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	549	125	71	74	62	0	103	92	135	127	81	104	0	200	104	151	816	98	69	1	508	90	108	687	168	249	2	0	26	18	13	2	1	3	1	0	0	0	Eukaryota;Porifera;Demospongiae;Halichondrida;Dictyonellidae;Tethyspira;Tethyspira spinosa
ERR146:6940.708973	0	0	2	0	2	0	0	0	0	0	7	1	7	0	0	158	49	105	220	191	226	73	183	444	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	2	1	2	1	3	0	0	1	1	0	0	0	0	0	0	3	1	0	2	0	0	0	686	216	532	226	145	337	964	1107	1354	0	Eukaryota;Annelida;Polychaeta;Terebellida;Alvinellidae;Paralvinella;Paralvinella sulfincola
