OTU	ERR0000001	ERR0000002	ERR0000003	ERR0000004	ERR0000005	ERR0000006	ERR0000007	ERR0000008	ERR0000009	ERR0000010	ERR0000011	ERR0000012	ERR0000014	ERR0000015	ERR0000016	ERR0000017	ERR0000018	ERR0000019	ERR0000020	ERR0000021	ERR0000022	ERR0000023	ERR0000024	ERR0000025	ERR0000026	ERR0000027	ERR0000028	ERR0000029	ERR0000030	ERR0000031	ERR0000032	ERR0000033	ERR0000034	ERR0000035	ERR0000036	ERR0000037	ERR0000038	ERR0000039	ERR0000040	ERR0000041	ERR0000042	ERR0000043	ERR0000044	ERR0000045	ERR0000046	ERR0000048	ERR0000049	ERR0000050	ERR0000051	ERR0000052	ERR0000053	ERR0000054	ERR0000055	ERR0000056	ERR0000057	ERR0000058	ERR0000059	ERR0000060	ERR0000061	ERR0000062	ERR0000063	ERR0000064	ERR0000065	ERR0000066	ERR0000067	ERR0000068	ERR0000069	ERR0000070	ERR0000071	ERR0000072	ERR0000073	classification
ERR72:167450.604336	1	12	0	2	4	15	9	7	9	0	1	2	0	3	0	0	2	0	3	0	0	0	0	1	0	0	1	0	0	0	7	32	12	6	12	0	14	2	1	21	5	5	0	17	7	9	15	12	0	1	0	0	0	18	0	0	1	34	11	8	6	0	0	2	0	12	10	11	12	22	14	Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Crucigera;Crucigera zygophora
ERR34:1205320.614027	0	0	0	0	4	0	2	0	66	0	20	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	45	0	22	0	1	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	89	0	0	0	1	0	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR38:26350.608292	0	3	0	0	0	2	0	0	2	1	0	1	0	3	0	0	3	0	0	0	1	0	0	0	1	1	0	0	2	0	14	31	18	6	8	0	17	0	6	11	11	14	0	4	2	1	3	1	0	0	0	0	0	13	0	8	2	17	10	10	4	0	0	1	1	12	10	36	17	28	9	Eukaryota;Arthropoda;Arachnida;Araneae;Araneidae;Araneus;Araneus ventricosus
ERR2:1429870.605032	2	5	1	3	2	4	3	3	5	2	9	16	0	6	0	2	22	0	0	0	0	0	0	1	0	0	0	0	0	0	5	12	17	6	11	0	12	0	1	6	9	3	0	6	2	6	5	2	0	0	0	0	0	15	0	2	1	27	2	11	10	0	0	5	1	13	20	7	8	15	18	Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Iwatanemertes;Iwatanemertes piperata
ERR48:41970.637154	1	3	3	1	5	3	4	5	2	2	1	1	0	3	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	7	15	7	5	3	0	17	3	3	3	9	5	0	15	12	8	24	16	3	1	0	0	0	18	0	1	5	5	17	16	14	0	1	1	0	6	4	18	10	17	12	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Melithaeidae;Clathraria;Clathraria maldivensis
ERR33:1062570.608505	0	3	0	0	0	1	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	33	22	17	6	22	1	20	1	3	8	10	13	0	8	2	0	4	3	0	1	0	0	0	17	0	2	1	20	5	14	6	0	0	5	1	15	12	20	10	17	6	Eukaryota;Nematoda;Chromadorea;Rhabditida;Trichostrongylidae;Trichostrongylus;Trichostrongylus vitrinus
ERR10:139660.654960	4	6	3	6	6	8	7	1	9	1	2	2	1	1	0	0	2	0	1	0	1	0	0	0	0	0	1	1	0	0	10	10	26	6	14	0	19	0	2	9	4	12	0	6	7	3	6	12	0	0	0	0	0	5	0	6	1	10	4	6	7	2	2	6	0	7	10	23	7	17	4	Eukaryota;Chordata;Actinopteri;Syngnathiformes;Callionymidae;Callionymus;Callionymus enneactis
ERR50:542400.619772	7	24	11	21	17	13	13	11	13	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	6	5	6	6	3	0	7	1	0	8	1	6	0	23	22	9	26	20	0	0	0	0	0	9	0	3	0	8	3	6	5	0	0	0	0	1	2	0	1	2	0	Eukaryota;Echinodermata;Crinoidea;Comatulida;Antedonidae;Antedon;Antedon bifida
ERR73:411620.639937	0	12	3	4	0	1	0	0	0	0	2	5	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	13	20	11	5	6	0	10	2	1	4	6	12	0	9	5	2	10	12	0	0	0	0	0	22	0	6	1	17	2	6	3	0	0	1	0	9	14	40	4	6	24	Eukaryota;Nematoda;Chromadorea;Rhabditida;Metastrongylidae;Metastrongylus;Metastrongylus salmi
ERR45:376280.604582	3	2	1	2	0	4	2	1	2	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	65	49	38	59	49	5	5	0	0	0	3	0	0	0	0	0	2	6	0	0	0	0	0	0	0	1	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Sciomyzidae;Ectinocera;Ectinocera borealis
ERR71:117170.600542	4	15	1	10	6	5	7	5	2	0	2	0	0	5	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	14	13	13	4	5	0	8	1	2	6	11	8	0	10	7	2	19	9	0	1	0	0	0	12	0	3	0	11	12	11	2	0	0	2	0	6	8	17	4	9	10	Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Ixodes;Ixodes turdus
ERR34:618320.622193	0	0	0	0	16	0	0	0	61	0	26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	18	0	3	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	68	0	0	0	0	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR2:715900.605124	1	9	3	9	10	3	3	1	5	0	2	2	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	3	5	9	11	0	4	0	0	2	0	0	0	41	24	13	34	13	3	0	0	0	0	11	0	13	0	10	8	17	7	1	0	0	0	2	0	0	0	1	1	Eukaryota;Chordata;Actinopteri;Gadiformes;Macrouridae;Cetonurus;Cetonurus globiceps
ERR48:669470.621974	1	2	4	0	5	1	2	2	3	1	7	14	0	6	0	0	12	0	0	0	1	0	0	1	0	0	1	0	0	0	7	6	3	9	10	0	7	0	1	9	2	7	0	12	5	4	5	5	0	0	1	0	0	11	0	4	1	12	10	5	8	0	2	2	0	4	11	24	11	11	15	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Toxomerus;Toxomerus floralis
