amplicon	linearized.dereplicate_ERR0000002.merged.fastq	total
ERR2:::30385:0:0:0:0.718835	3	3
ERR2:::30469:0:0:0:0.717583	3	3
ERR2:::30573:0:0:0:0.729784	3	3
ERR2:::3094:0:0:0:0.732185	3	3
ERR2:::31371:0:0:0:0.680468	3	3
ERR2:::3165:0:0:0:0.702753	3	3
ERR2:::31750:0:0:0:0.743357	3	3
ERR2:::31777:0:0:0:0.735733	3	3
ERR2:::32244:0:0:0:0.730163	3	3
ERR2:::32456:0:0:0:0.729944	3	3
ERR2:::3372:0:0:0:0.726796	3	3
ERR2:::34477:0:0:0:0.728073	3	3
ERR2:::34713:0:0:0:0.725388	3	3
ERR2:::35238:0:0:0:0.720767	3	3
ERR2:::35570:0:0:0:0.726914	3	3
ERR2:::35739:0:0:0:0.681829	3	3
ERR2:::35800:0:0:0:0.664220	3	3
ERR2:::36091:0:0:0:0.731869	3	3
ERR2:::36456:0:0:0:0.739640	3	3
ERR2:::3647:0:0:0:0.727716	3	3
ERR2:::36810:0:0:0:0.716054	3	3
ERR2:::36877:0:0:0:0.722508	3	3
ERR2:::37132:0:0:0:0.740824	3	3
ERR2:::37151:0:0:0:0.732329	3	3
ERR2:::37178:0:0:0:0.732617	3	3
ERR2:::38110:0:0:0:0.674327	3	3
ERR2:::38633:0:0:0:0.712959	3	3
ERR2:::38833:0:0:0:0.737515	3	3
ERR2:::40965:0:0:0:0.732267	3	3
ERR2:::41305:0:0:0:0.730290	3	3
ERR2:::41538:0:0:0:0.694782	3	3
ERR2:::42047:0:0:0:0.701225	3	3
ERR2:::42147:0:0:0:0.717593	3	3
ERR2:::4303:0:0:0:0.706976	3	3
ERR2:::44226:0:0:0:0.732082	3	3
ERR2:::44644:0:0:0:0.693228	3	3
ERR2:::44748:0:0:0:0.738108	3	3
ERR2:::45521:0:0:0:0.725407	3	3
ERR2:::4590:0:0:0:0.677755	3	3
ERR2:::47140:0:0:0:0.730431	3	3
ERR2:::4727:0:0:0:0.697344	3	3
ERR2:::4809:0:0:0:0.707189	3	3
ERR2:::49487:0:0:0:0.731056	3	3
ERR2:::50577:0:0:0:0.729351	3	3
ERR2:::51027:0:0:0:0.700347	3	3
ERR2:::52798:0:0:0:0.728307	3	3
ERR2:::53:0:0:0:0.751729	3	3
ERR2:::53265:0:0:0:0.701993	3	3
ERR2:::53867:0:0:0:0.708823	3	3
ERR2:::55713:0:0:0:0.730437	3	3
ERR2:::57192:0:0:0:0.742113	3	3
ERR2:::57321:0:0:0:0.738299	3	3
ERR2:::5793:0:0:0:0.740945	3	3
ERR2:::5801:0:0:0:0.734370	3	3
ERR2:::5837:0:0:0:0.740819	3	3
ERR2:::5960:0:0:0:0.724822	3	3
ERR2:::60083:0:0:0:0.738433	3	3
ERR2:::6019:0:0:0:0.731584	3	3
ERR2:::61129:0:0:0:0.727336	3	3
ERR2:::61130:0:0:0:0.710181	3	3
ERR2:::6191:0:0:0:0.736572	3	3
ERR2:::6256:0:0:0:0.729801	3	3
ERR2:::6363:0:0:0:0.685354	3	3
ERR2:::6799:0:0:0:0.721937	3	3
ERR2:::7064:0:0:0:0.701031	3	3
ERR2:::7355:0:0:0:0.740389	3	3
ERR2:::7513:0:0:0:0.723376	3	3
ERR2:::7545:0:0:0:0.700942	3	3
ERR2:::7662:0:0:0:0.724018	3	3
ERR2:::7943:0:0:0:0.718765	3	3
ERR2:::8023:0:0:0:0.724227	3	3
ERR2:::8139:0:0:0:0.743414	3	3
ERR2:::8596:0:0:0:0.726930	3	3
ERR2:::869:0:0:0:0.740018	3	3
ERR2:::8721:0:0:0:0.663192	3	3
ERR2:::9323:0:0:0:0.714593	3	3
ERR2:::9483:0:0:0:0.654781	3	3
ERR2:::9535:0:0:0:0.713365	3	3
ERR2:::9628:0:0:0:0.615287	3	3
ERR2:::9653:0:0:0:0.708084	3	3
ERR2:::9776:0:0:0:0.733783	3	3
ERR2:::10043:0:0:0:0.725567	2	2
ERR2:::10048:0:0:0:0.726581	2	2
ERR2:::10075:0:0:0:0.721375	2	2
ERR2:::10120:0:0:0:0.721424	2	2
ERR2:::102:0:0:0:0.705750	2	2
ERR2:::10213:0:0:0:0.737464	2	2
ERR2:::10264:0:0:0:0.619703	2	2
ERR2:::10321:0:0:0:0.725414	2	2
ERR2:::1034:0:0:0:0.701548	2	2
ERR2:::10369:0:0:0:0.716959	2	2
ERR2:::10390:0:0:0:0.736105	2	2
ERR2:::10460:0:0:0:0.635751	2	2
ERR2:::10503:0:0:0:0.698715	2	2
ERR2:::1055:0:0:0:0.705029	2	2
ERR2:::10564:0:0:0:0.636670	2	2
ERR2:::10610:0:0:0:0.737446	2	2
ERR2:::10644:0:0:0:0.642070	2	2
ERR2:::10699:0:0:0:0.735961	2	2
ERR2:::10703:0:0:0:0.708795	2	2
ERR2:::10850:0:0:0:0.708980	2	2
ERR2:::10895:0:0:0:0.729932	2	2
ERR2:::10912:0:0:0:0.736595	2	2
ERR2:::10948:0:0:0:0.661144	2	2
ERR2:::11020:0:0:0:0.687274	2	2
ERR2:::11077:0:0:0:0.667988	2	2
ERR2:::11165:0:0:0:0.730714	2	2
ERR2:::11202:0:0:0:0.663059	2	2
ERR2:::11564:0:0:0:0.630266	2	2
ERR2:::1164:0:0:0:0.706111	2	2
ERR2:::11661:0:0:0:0.713104	2	2
ERR2:::11734:0:0:0:0.726115	2	2
ERR2:::11785:0:0:0:0.684508	2	2
ERR2:::11786:0:0:0:0.718544	2	2
ERR2:::11844:0:0:0:0.706464	2	2
ERR2:::11911:0:0:0:0.736312	2	2
ERR2:::12061:0:0:0:0.714876	2	2
ERR2:::12064:0:0:0:0.681360	2	2
ERR2:::12115:0:0:0:0.746558	2	2
ERR2:::12160:0:0:0:0.692735	2	2
ERR2:::12280:0:0:0:0.734337	2	2
ERR2:::12370:0:0:0:0.709125	2	2
ERR2:::12406:0:0:0:0.725752	2	2
ERR2:::12660:0:0:0:0.636320	2	2
ERR2:::12682:0:0:0:0.701928	2	2
ERR2:::12779:0:0:0:0.724132	2	2
ERR2:::12932:0:0:0:0.739321	2	2
ERR2:::12988:0:0:0:0.691085	2	2
ERR2:::13007:0:0:0:0.714709	2	2
ERR2:::1305:0:0:0:0.743205	2	2
ERR2:::13144:0:0:0:0.720384	2	2
ERR2:::1321:0:0:0:0.739823	2	2
ERR2:::13269:0:0:0:0.678981	2	2
ERR2:::13306:0:0:0:0.731881	2	2
ERR2:::13322:0:0:0:0.697047	2	2
ERR2:::13329:0:0:0:0.740346	2	2
ERR2:::13354:0:0:0:0.739444	2	2
ERR2:::13477:0:0:0:0.650065	2	2
ERR2:::1363:0:0:0:0.731942	2	2
ERR2:::14004:0:0:0:0.723790	2	2
ERR2:::1409:0:0:0:0.723615	2	2
ERR2:::14153:0:0:0:0.650040	2	2
ERR2:::14184:0:0:0:0.710600	2	2
ERR2:::14217:0:0:0:0.623185	2	2
ERR2:::14323:0:0:0:0.728811	2	2
ERR2:::14375:0:0:0:0.714754	2	2
ERR2:::14507:0:0:0:0.701452	2	2
ERR2:::14516:0:0:0:0.732491	2	2
ERR2:::14541:0:0:0:0.713784	2	2
ERR2:::14578:0:0:0:0.706123	2	2
ERR2:::14581:0:0:0:0.629414	2	2
ERR2:::14683:0:0:0:0.722624	2	2
ERR2:::14762:0:0:0:0.658412	2	2
ERR2:::14790:0:0:0:0.721974	2	2
ERR2:::14855:0:0:0:0.717397	2	2
ERR2:::15150:0:0:0:0.723194	2	2
ERR2:::15153:0:0:0:0.724487	2	2
ERR2:::15158:0:0:0:0.697635	2	2
ERR2:::15273:0:0:0:0.738751	2	2
ERR2:::15721:0:0:0:0.623215	2	2
ERR2:::15741:0:0:0:0.732394	2	2
ERR2:::15751:0:0:0:0.733582	2	2
ERR2:::15869:0:0:0:0.719475	2	2
ERR2:::15909:0:0:0:0.714299	2	2
ERR2:::15999:0:0:0:0.654088	2	2
ERR2:::16068:0:0:0:0.714060	2	2
ERR2:::16087:0:0:0:0.662626	2	2
ERR2:::16099:0:0:0:0.710491	2	2
ERR2:::16146:0:0:0:0.700294	2	2
ERR2:::1618:0:0:0:0.732022	2	2
ERR2:::1632:0:0:0:0.729754	2	2
ERR2:::1636:0:0:0:0.721085	2	2
ERR2:::16448:0:0:0:0.705284	2	2
ERR2:::16696:0:0:0:0.660588	2	2
ERR2:::16725:0:0:0:0.659013	2	2
ERR2:::16809:0:0:0:0.723966	2	2
ERR2:::16825:0:0:0:0.725793	2	2
ERR2:::16883:0:0:0:0.708679	2	2
ERR2:::16950:0:0:0:0.693400	2	2
ERR2:::16991:0:0:0:0.706195	2	2
ERR2:::17015:0:0:0:0.671435	2	2
ERR2:::17036:0:0:0:0.731454	2	2
ERR2:::17121:0:0:0:0.726171	2	2
ERR2:::17211:0:0:0:0.731023	2	2
ERR2:::17241:0:0:0:0.738677	2	2
ERR2:::17285:0:0:0:0.731043	2	2
ERR2:::17290:0:0:0:0.606797	2	2
ERR2:::17324:0:0:0:0.738638	2	2
ERR2:::17515:0:0:0:0.683595	2	2
ERR2:::1755:0:0:0:0.731847	2	2
ERR2:::17623:0:0:0:0.730938	2	2
ERR2:::17769:0:0:0:0.705008	2	2
ERR2:::18088:0:0:0:0.725194	2	2
ERR2:::18143:0:0:0:0.710769	2	2
ERR2:::18352:0:0:0:0.728105	2	2
ERR2:::18367:0:0:0:0.738963	2	2
ERR2:::18438:0:0:0:0.701570	2	2
ERR2:::18517:0:0:0:0.644189	2	2
ERR2:::18525:0:0:0:0.734797	2	2
ERR2:::1857:0:0:0:0.742991	2	2
