OTU	amplicon	SRR1808870	total
1102	SRR11808870:1723580.607030	2	2
1103	SRR11808870:1723810.648811	2	2
1105	SRR11808870:1726270.645226	2	2
1106	SRR11808870:1733760.671071	2	2
1108	SRR11808870:1734850.623999	2	2
1109	SRR11808870:1736600.609821	2	2
1110	SRR11808870:1736700.638463	2	2
1111	SRR11808870:1736780.628896	2	2
1115	SRR11808870:1743420.646964	2	2
1117	SRR11808870:1746750.641899	2	2
1118	SRR11808870:1748810.639131	2	2
1119	SRR11808870:1751360.608727	2	2
1121	SRR11808870:1755710.649760	2	2
1122	SRR11808870:1756880.607437	2	2
1124	SRR11808870:1775090.663570	2	2
1126	SRR11808870:1775740.656448	2	2
1127	SRR11808870:1776590.604472	2	2
1128	SRR11808870:1777350.633402	2	2
1129	SRR11808870:1785060.635354	2	2
1131	SRR11808870:1785510.604452	2	2
1132	SRR11808870:1789670.612040	2	2
1133	SRR11808870:1792680.615371	2	2
1135	SRR11808870:1796900.650217	2	2
1137	SRR11808870:1801400.633974	2	2
1140	SRR11808870:1809380.644469	2	2
1141	SRR11808870:1810370.606428	2	2
1142	SRR11808870:18160.630378	2	2
1143	SRR11808870:1817400.617451	2	2
1144	SRR11808870:1821540.603283	2	2
1145	SRR11808870:1825710.626680	2	2
1146	SRR11808870:1829890.621690	2	2
1147	SRR11808870:1836650.609789	2	2
1148	SRR11808870:1837850.613910	2	2
1149	SRR11808870:1839020.648423	2	2
1151	SRR11808870:1845250.622437	2	2
1153	SRR11808870:185580.649535	2	2
1154	SRR11808870:1858440.619914	2	2
1155	SRR11808870:1859360.636319	2	2
1156	SRR11808870:1860810.641799	2	2
1161	SRR11808870:187130.621656	2	2
1167	SRR11808870:1877960.634278	2	2
1171	SRR11808870:1881410.635826	2	2
1173	SRR11808870:1883960.612168	2	2
1177	SRR11808870:1888450.643002	2	2
1179	SRR11808870:1889970.657704	2	2
1181	SRR11808870:1892310.646426	2	2
1183	SRR11808870:1893440.653321	2	2
1184	SRR11808870:1894920.647786	2	2
1185	SRR11808870:1896470.613490	2	2
1187	SRR11808870:1902030.619989	2	2
1193	SRR11808870:1906680.622951	2	2
1194	SRR11808870:1907940.625170	2	2
1197	SRR11808870:1914760.623794	2	2
1199	SRR11808870:1917040.637857	2	2
1200	SRR11808870:1917160.633968	2	2
1201	SRR11808870:1918220.634582	2	2
1202	SRR11808870:1919890.612850	2	2
1203	SRR11808870:1922240.618094	2	2
1209	SRR11808870:1930270.653954	2	2
1210	SRR11808870:1931340.602454	2	2
1212	SRR11808870:1934420.608053	2	2
1213	SRR11808870:1934490.624757	2	2
1214	SRR11808870:1935130.627760	2	2
1215	SRR11808870:1935300.645279	2	2
1216	SRR11808870:1935390.638047	2	2
1217	SRR11808870:1936300.629157	2	2
1220	SRR11808870:1940130.628731	2	2
1222	SRR11808870:1942160.620149	2	2
1223	SRR11808870:194380.608930	2	2
1224	SRR11808870:1948420.642998	2	2
1231	SRR11808870:1962570.662163	2	2
1232	SRR11808870:1962950.644390	2	2
1233	SRR11808870:1963650.643590	2	2
1236	SRR11808870:1971660.601890	2	2
1240	SRR11808870:1979610.603052	2	2
1244	SRR11808870:1984730.610154	2	2
1248	SRR11808870:1986390.605018	2	2
1249	SRR11808870:1988020.643320	2	2
1250	SRR11808870:1988460.617043	2	2
1254	SRR11808870:1994240.637318	2	2
1255	SRR11808870:1995440.656418	2	2
1257	SRR11808870:1996810.617404	2	2
1259	SRR11808870:1998040.626747	2	2
1261	SRR11808870:2003370.612428	2	2
1263	SRR11808870:2008180.620454	2	2
1264	SRR11808870:2008360.615652	2	2
1268	SRR11808870:2013000.602337	2	2
1269	SRR11808870:2014820.618944	2	2
1272	SRR11808870:2017750.645515	2	2
1275	SRR11808870:2021200.633754	3	3
1276	SRR11808870:2021430.650764	2	2
1277	SRR11808870:2023520.607284	2	2
1279	SRR11808870:2027550.617718	2	2
1281	SRR11808870:2035530.616944	2	2
1282	SRR11808870:2037260.601917	2	2
1284	SRR11808870:2038250.623323	2	2
1287	SRR11808870:2039180.606690	3	3
1288	SRR11808870:2040320.606159	2	2
1289	SRR11808870:2041820.611731	2	2
1290	SRR11808870:204420.613104	2	2
1291	SRR11808870:2045290.612756	2	2
1294	SRR11808870:2052250.661321	2	2
1295	SRR11808870:2052490.615225	2	2
1297	SRR11808870:2055850.669159	2	2
1298	SRR11808870:2056050.623575	2	2
1299	SRR11808870:2058000.611887	2	2
1300	SRR11808870:2063790.703020	2	2
1301	SRR11808870:2067020.612939	3	3
1303	SRR11808870:2072560.608873	2	2
1305	SRR11808870:2076930.634823	2	2
1307	SRR11808870:2082330.603812	2	2
1308	SRR11808870:2090440.608368	2	2
1310	SRR11808870:2092820.633503	3	3
1312	SRR11808870:2095660.643912	2	2
1313	SRR11808870:209720.672819	2	2
1314	SRR11808870:2100230.635236	2	2
1315	SRR11808870:2102040.605190	2	2
1316	SRR11808870:2103270.606861	2	2
1317	SRR11808870:2103530.628702	3	3
1318	SRR11808870:2105870.634168	2	2
1319	SRR11808870:2107970.608293	3	3
1320	SRR11808870:2109280.601021	2	2
1323	SRR11808870:2112870.651745	3	3
1324	SRR11808870:211500.619219	3	3
1325	SRR11808870:2115730.630262	2	2
1326	SRR11808870:2116510.602571	2	2
1327	SRR11808870:2118780.622823	2	2
1328	SRR11808870:2126510.627274	2	2
1329	SRR11808870:2127030.616404	2	2
1330	SRR11808870:2127360.603272	2	2
1333	SRR11808870:2130750.621660	2	2
1334	SRR11808870:2136080.680467	2	2
1335	SRR11808870:2136130.622965	2	2
1337	SRR11808870:2136800.638317	2	2
1338	SRR11808870:2138380.683712	2	2
1340	SRR11808870:2143600.606925	2	2
1341	SRR11808870:2145490.630444	2	2
1342	SRR11808870:2151570.628584	2	2
1343	SRR11808870:2155490.626411	2	2
