OTU	ERR3460466	classification
ERR3460466:1099620.612422	3	Eukaryota;Entoprocta;Barentsiidae;Barentsia;Barentsia discreta
ERR3460466:1100470.608724	3	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Oscarella;Oscarella tuberculata
ERR3460466:110840.611215	3	Eukaryota;Chordata;Amphibia;Anura;Ranidae;Odorrana;Odorrana narina
ERR3460466:1120050.616576	3	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Oscarella;Oscarella tuberculata
ERR3460466:11210.618342	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1124730.632891	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1124740.671670	3	Eukaryota;Cnidaria;Anthozoa;Actiniaria;Halcuriidae;Halcurias;Halcurias pilatus
ERR3460466:1125240.619953	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1134130.601695	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1143930.625290	3	Eukaryota;Arthropoda;Insecta;Hymenoptera;Agaonidae;Kradibia;Kradibia salembensis
ERR3460466:1169020.629344	3	Eukaryota;Chordata;Mammalia;Diprotodontia;Potoroidae;Hypsiprymnodon;Hypsiprymnodon moschatus
ERR3460466:1171650.621362	3	Eukaryota;Mollusca;Gastropoda;Nassariidae;Hebra;Hebra corticata
ERR3460466:1172410.610547	3	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Dendostrea;Dendostrea crenulifera
ERR3460466:1173890.607141	3	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sundasalanx;Sundasalanx mekongensis
ERR3460466:119330.605055	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:119950.614225	3	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Dendostrea;Dendostrea crenulifera
ERR3460466:1210660.610789	3	Eukaryota;Chordata;Mammalia;Chiroptera;Pteropodidae;Pteropus;Pteropus scapulatus
ERR3460466:1247250.621057	3	Eukaryota;Arthropoda;Insecta;Orthoptera;Anostostomatidae;Motuweta;Motuweta riparia
ERR3460466:1249210.637329	3	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Lovenella;Lovenella assimilis
ERR3460466:1266840.655514	3	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
ERR3460466:1275200.609906	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:129120.612844	3	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Atrapsalta (nomen nudum);Atrapsalta corticina (nomen nudum)
ERR3460466:1292630.604139	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1309320.622038	3	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Tryella;Tryella burnsi
ERR3460466:1319420.624879	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:148500.609229	3	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;Bugula;Bugula simplex
ERR3460466:154780.606703	3	Eukaryota;Arthropoda;Chilopoda;Lithobiomorpha;Henicopidae;Cermatobius;Cermatobius longicornis
ERR3460466:157130.623113	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:160350.611470	3	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Codonium;Codonium proliferum
ERR3460466:172850.602701	3	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
