amplicon	ERR3460470	total
ERR3460470:128380.647204	4	4
ERR3460470:128480.631338	4	4
ERR3460470:128930.626759	4	4
ERR3460470:129680.612601	4	4
ERR3460470:130080.632499	4	4
ERR3460470:137770.602945	4	4
ERR3460470:138100.646441	4	4
ERR3460470:141310.624643	4	4
ERR3460470:142150.656139	4	4
ERR3460470:142710.608476	4	4
ERR3460470:144110.637732	4	4
ERR3460470:144420.602948	4	4
ERR3460470:146370.645861	4	4
ERR3460470:146520.611783	4	4
ERR3460470:147130.603629	4	4
ERR3460470:147330.647833	4	4
ERR3460470:148000.627830	4	4
ERR3460470:152560.600402	4	4
ERR3460470:154450.601102	4	4
ERR3460470:154500.642677	4	4
ERR3460470:154930.616496	4	4
ERR3460470:155610.602358	4	4
ERR3460470:157240.633066	4	4
ERR3460470:157590.617881	4	4
ERR3460470:159820.605406	4	4
ERR3460470:16240.601158	4	4
ERR3460470:162950.620472	4	4
ERR3460470:163010.634306	4	4
ERR3460470:163200.614929	4	4
ERR3460470:16320.603339	4	4
ERR3460470:164190.638077	4	4
ERR3460470:167690.615594	4	4
ERR3460470:175900.604709	4	4
ERR3460470:17650.649171	4	4
ERR3460470:176640.633305	4	4
ERR3460470:181840.640819	4	4
ERR3460470:18370.603441	4	4
ERR3460470:184110.637439	4	4
ERR3460470:184960.608245	4	4
ERR3460470:185050.608733	4	4
ERR3460470:18610.614031	4	4
ERR3460470:18890.616721	4	4
ERR3460470:19680.635402	4	4
ERR3460470:203680.637666	4	4
ERR3460470:210250.634533	4	4
ERR3460470:210610.626043	4	4
ERR3460470:212940.612206	4	4
ERR3460470:213490.660733	4	4
ERR3460470:217730.633824	4	4
ERR3460470:219050.604358	4	4
ERR3460470:219990.611600	4	4
ERR3460470:221760.610413	4	4
ERR3460470:222490.620541	4	4
ERR3460470:222810.627957	4	4
ERR3460470:222950.601175	4	4
ERR3460470:224780.620013	4	4
ERR3460470:230300.602157	4	4
ERR3460470:231600.621882	4	4
ERR3460470:237020.631262	4	4
ERR3460470:238470.609196	4	4
ERR3460470:242280.640750	4	4
ERR3460470:244470.605502	4	4
ERR3460470:246110.640524	4	4
ERR3460470:246600.626086	4	4
ERR3460470:247680.603800	4	4
ERR3460470:25360.613293	4	4
ERR3460470:258330.640111	4	4
ERR3460470:259930.633988	4	4
ERR3460470:26040.626824	4	4
ERR3460470:26280.628119	4	4
ERR3460470:263560.663220	4	4
ERR3460470:274740.605641	4	4
ERR3460470:27880.607359	4	4
ERR3460470:27910.631420	4	4
ERR3460470:284550.618885	4	4
ERR3460470:284670.611300	4	4
ERR3460470:288300.602544	4	4
ERR3460470:290590.616564	4	4
ERR3460470:291750.627076	4	4
ERR3460470:2960.619197	4	4
ERR3460470:296430.646977	4	4
ERR3460470:297120.631355	4	4
ERR3460470:29960.600014	4	4
ERR3460470:31190.609768	4	4
ERR3460470:313090.649645	4	4
ERR3460470:3140.619927	4	4
ERR3460470:32190.667996	4	4
ERR3460470:322760.620935	4	4
ERR3460470:330460.621596	4	4
ERR3460470:331760.622116	4	4
ERR3460470:342730.624993	4	4
ERR3460470:34290.634381	4	4
ERR3460470:351400.616459	4	4
ERR3460470:3540.602927	4	4
ERR3460470:354470.634309	4	4
ERR3460470:355960.607539	4	4
ERR3460470:359590.624807	4	4
ERR3460470:364970.618730	4	4
ERR3460470:365610.656435	4	4
ERR3460470:385340.611793	4	4
ERR3460470:386850.602983	4	4
ERR3460470:389760.606009	4	4
ERR3460470:391210.622733	4	4
ERR3460470:396700.601992	4	4
ERR3460470:396800.609978	4	4
ERR3460470:397850.628375	4	4
ERR3460470:398970.603427	4	4
ERR3460470:411620.620308	4	4
ERR3460470:411630.604451	4	4
ERR3460470:418820.619543	4	4
ERR3460470:423710.600215	4	4
ERR3460470:42650.613823	4	4
ERR3460470:440020.638953	4	4
ERR3460470:441900.626517	4	4
ERR3460470:44200.605255	4	4
ERR3460470:442870.611115	4	4
ERR3460470:44360.613169	4	4
ERR3460470:4630.605861	4	4
ERR3460470:464740.625990	4	4
ERR3460470:46650.609714	4	4
ERR3460470:468610.605916	4	4
ERR3460470:47090.612364	4	4
ERR3460470:47500.643717	4	4
ERR3460470:479850.606631	4	4
ERR3460470:48270.607276	4	4
ERR3460470:49150.645816	4	4
ERR3460470:493340.609421	4	4
ERR3460470:498990.631385	4	4
ERR3460470:49910.638363	4	4
ERR3460470:506810.632082	4	4
ERR3460470:50710.641225	4	4
ERR3460470:508350.618393	4	4
ERR3460470:50850.618270	4	4
ERR3460470:510980.606854	4	4
ERR3460470:511660.602063	4	4
ERR3460470:522790.611043	4	4
ERR3460470:53080.629967	4	4
ERR3460470:535440.606506	4	4
ERR3460470:53810.649290	4	4
ERR3460470:5410.602614	4	4
ERR3460470:544830.601119	4	4
ERR3460470:544870.611574	4	4
ERR3460470:54610.666656	4	4
ERR3460470:5470.651036	4	4
ERR3460470:549150.626088	4	4
ERR3460470:551400.613855	4	4
ERR3460470:553010.620630	4	4
ERR3460470:553260.649239	4	4
ERR3460470:554470.619786	4	4
ERR3460470:55490.616572	4	4
ERR3460470:568740.603070	4	4
ERR3460470:573680.658474	4	4
ERR3460470:578150.643672	4	4
ERR3460470:580550.616625	4	4
ERR3460470:58140.642214	4	4
ERR3460470:581970.607356	4	4
ERR3460470:589260.610118	4	4
ERR3460470:596230.662001	4	4
ERR3460470:59800.613450	4	4
ERR3460470:60050.610662	4	4
ERR3460470:61120.605976	4	4
ERR3460470:61560.663140	4	4
ERR3460470:618190.600301	4	4
ERR3460470:61820.618793	4	4
ERR3460470:61890.623334	4	4
ERR3460470:620310.621486	4	4
ERR3460470:62680.606517	4	4
ERR3460470:62780.624876	4	4
ERR3460470:631710.603318	4	4
ERR3460470:63480.605273	4	4
ERR3460470:63890.644168	4	4
ERR3460470:65100.642296	4	4
ERR3460470:662870.607282	4	4
ERR3460470:66320.605018	4	4
ERR3460470:67020.636716	4	4
ERR3460470:67140.616034	4	4
ERR3460470:68970.654517	4	4
ERR3460470:699770.620803	4	4
ERR3460470:708050.672776	4	4
ERR3460470:708380.644085	4	4
ERR3460470:70930.600125	4	4
ERR3460470:725450.603393	4	4
ERR3460470:732160.658513	4	4
ERR3460470:744830.617553	4	4
ERR3460470:75920.611081	4	4
ERR3460470:767800.607087	4	4
ERR3460470:76990.624168	4	4
ERR3460470:773220.638745	4	4
ERR3460470:775610.604856	4	4
ERR3460470:776980.608734	4	4
ERR3460470:782550.629102	4	4
ERR3460470:784220.609974	4	4
ERR3460470:785050.613958	4	4
ERR3460470:78790.639039	4	4
ERR3460470:805390.614388	4	4
ERR3460470:80800.625054	4	4
ERR3460470:816750.613894	4	4
ERR3460470:817990.613745	4	4
ERR3460470:82100.603763	4	4
ERR3460470:82440.649451	4	4
ERR3460470:82880.643551	4	4
ERR3460470:85870.620474	4	4
ERR3460470:859420.660642	4	4
ERR3460470:863770.645459	4	4
ERR3460470:884100.604135	4	4
ERR3460470:89380.622242	4	4
ERR3460470:8960.613290	4	4
ERR3460470:90210.602432	4	4
ERR3460470:90340.612521	4	4
ERR3460470:90590.602259	4	4
ERR3460470:915560.623106	4	4
ERR3460470:91570.610185	4	4
ERR3460470:92090.608046	4	4
ERR3460470:921560.631382	4	4
ERR3460470:924270.648881	4	4
ERR3460470:93280.612211	4	4
ERR3460470:933230.608507	4	4
ERR3460470:94450.629144	4	4
ERR3460470:954040.644449	4	4
ERR3460470:95450.605179	4	4
ERR3460470:958000.606190	4	4
ERR3460470:96260.631653	4	4
ERR3460470:963930.624710	4	4
ERR3460470:97450.619677	4	4
ERR3460470:97890.623124	4	4
ERR3460470:98090.626157	4	4
ERR3460470:98120.624688	4	4
ERR3460470:997860.640317	4	4
ERR3460470:100330.635006	3	3
ERR3460470:1005480.604450	3	3
ERR3460470:100620.609832	3	3
ERR3460470:100690.640233	3	3
ERR3460470:100810.623384	3	3
ERR3460470:1014490.607388	3	3
ERR3460470:1018410.623056	3	3
ERR3460470:1038430.625087	3	3
ERR3460470:104000.623489	3	3
ERR3460470:104820.619696	3	3
ERR3460470:105240.637588	3	3
ERR3460470:105800.627030	3	3
ERR3460470:106120.611584	3	3
ERR3460470:106840.608125	3	3
ERR3460470:1071930.618077	3	3
ERR3460470:107480.675145	3	3
ERR3460470:1099100.616374	3	3
ERR3460470:110860.611883	3	3
ERR3460470:111080.629314	3	3
ERR3460470:112290.621592	3	3
ERR3460470:1149000.650686	3	3
ERR3460470:114990.618147	3	3
ERR3460470:1164630.610375	3	3
ERR3460470:116670.622650	3	3
ERR3460470:116810.627822	3	3
ERR3460470:1170670.611005	3	3
ERR3460470:1177650.617860	3	3
ERR3460470:11830.631423	3	3
ERR3460470:1183740.649694	3	3
ERR3460470:1201800.614186	3	3
ERR3460470:1202910.626739	3	3
ERR3460470:120410.609480	3	3
ERR3460470:120720.611609	3	3
ERR3460470:122200.606578	3	3
ERR3460470:125200.626642	3	3
ERR3460470:125310.620970	3	3
ERR3460470:125560.608747	3	3
ERR3460470:126230.612098	3	3
ERR3460470:126400.601797	3	3
ERR3460470:127970.602573	3	3
ERR3460470:128440.600688	3	3
ERR3460470:129540.633985	3	3
ERR3460470:129880.656884	3	3
ERR3460470:129920.622285	3	3
ERR3460470:130220.636057	3	3
ERR3460470:1313060.620519	3	3
ERR3460470:132230.658902	3	3
ERR3460470:133050.642626	3	3
ERR3460470:133660.619324	3	3
ERR3460470:1339700.602410	3	3
ERR3460470:134430.603591	3	3
ERR3460470:13490.604553	3	3
ERR3460470:135180.658205	3	3
ERR3460470:1358690.610041	3	3
ERR3460470:136210.639653	3	3
ERR3460470:136300.632615	3	3
ERR3460470:13660.630742	3	3
ERR3460470:139960.619802	3	3
ERR3460470:140560.631719	3	3
ERR3460470:142750.616104	3	3
ERR3460470:143590.641764	3	3
ERR3460470:144900.611728	3	3
ERR3460470:145070.637278	3	3
ERR3460470:145510.610725	3	3
ERR3460470:146140.607073	3	3
ERR3460470:146320.633742	3	3
ERR3460470:147040.649787	3	3
ERR3460470:14790.656503	3	3
ERR3460470:148330.643039	3	3
ERR3460470:155710.617152	3	3
ERR3460470:157500.618380	3	3
ERR3460470:15810.608790	3	3
ERR3460470:158260.607080	3	3
ERR3460470:159320.609577	3	3
ERR3460470:15950.666733	3	3
ERR3460470:163970.609995	3	3
ERR3460470:164000.601518	3	3
ERR3460470:164090.605688	3	3
ERR3460470:167780.625087	3	3
ERR3460470:167910.607088	3	3
ERR3460470:167940.617114	3	3
ERR3460470:168380.613083	3	3
ERR3460470:168440.610118	3	3
ERR3460470:168500.604511	3	3
ERR3460470:169950.641396	3	3
ERR3460470:171190.620175	3	3
ERR3460470:173520.605280	3	3
ERR3460470:173530.614162	3	3
ERR3460470:174770.651649	3	3
ERR3460470:175020.616544	3	3
ERR3460470:175320.618493	3	3
ERR3460470:175400.629737	3	3
