amplicon	SRR1808872	total
SRR11808872:1698600.626588	3	3
SRR11808872:1701270.618346	3	3
SRR11808872:1701720.620396	3	3
SRR11808872:1703830.609581	3	3
SRR11808872:170440.621915	3	3
SRR11808872:17060.622649	3	3
SRR11808872:1711490.618645	3	3
SRR11808872:1713910.621796	3	3
SRR11808872:1723810.601929	3	3
SRR11808872:1723860.638448	3	3
SRR11808872:1728750.633883	3	3
SRR11808872:1736610.606026	3	3
SRR11808872:1737990.616050	3	3
SRR11808872:1739100.625743	3	3
SRR11808872:1740110.622766	3	3
SRR11808872:175140.630877	3	3
SRR11808872:1752270.629352	3	3
SRR11808872:1754020.608011	3	3
SRR11808872:1761760.611445	3	3
SRR11808872:1788030.603048	3	3
SRR11808872:1797210.611482	3	3
SRR11808872:1799900.621346	3	3
SRR11808872:1806040.620958	3	3
SRR11808872:1814190.621710	3	3
SRR11808872:1832010.617323	3	3
SRR11808872:1834120.648258	3	3
SRR11808872:1843060.643171	3	3
SRR11808872:1843810.638406	3	3
SRR11808872:1855020.620478	3	3
SRR11808872:1856520.612817	3	3
SRR11808872:1856840.604512	3	3
SRR11808872:1881280.612020	3	3
SRR11808872:1899730.623193	3	3
SRR11808872:1909440.601091	3	3
SRR11808872:1918990.637112	3	3
SRR11808872:1935260.621971	3	3
SRR11808872:1960940.617374	3	3
SRR11808872:1979830.603802	3	3
SRR11808872:1980550.609028	3	3
SRR11808872:2021870.617721	3	3
SRR11808872:2022660.600694	3	3
SRR11808872:2025410.615225	3	3
SRR11808872:2029280.621393	3	3
SRR11808872:2030220.637160	3	3
SRR11808872:2043240.634899	3	3
SRR11808872:2056020.604622	3	3
SRR11808872:2059570.600178	3	3
SRR11808872:2064980.604261	3	3
SRR11808872:2089640.613804	3	3
SRR11808872:2093840.638089	3	3
SRR11808872:2099650.606222	3	3
SRR11808872:2102740.602748	3	3
SRR11808872:2103140.600906	3	3
SRR11808872:2105830.601928	3	3
SRR11808872:2117540.603015	3	3
SRR11808872:2124190.602579	3	3
SRR11808872:2131760.616949	3	3
SRR11808872:2132140.623344	3	3
SRR11808872:2134750.607978	3	3
SRR11808872:2141710.637321	3	3
SRR11808872:2143290.628627	3	3
SRR11808872:2152850.620398	3	3
SRR11808872:2168530.621630	3	3
SRR11808872:2196760.643735	3	3
SRR11808872:2198170.651848	3	3
SRR11808872:2208230.625296	3	3
SRR11808872:2218960.620480	3	3
SRR11808872:2229450.607935	3	3
SRR11808872:2245930.622277	3	3
SRR11808872:2262740.613870	3	3
SRR11808872:2263040.625627	3	3
SRR11808872:2275520.655434	3	3
SRR11808872:2287840.620465	3	3
SRR11808872:228830.641862	3	3
SRR11808872:2288990.631478	3	3
SRR11808872:2300340.629637	3	3
SRR11808872:230090.617067	3	3
SRR11808872:2302620.601424	3	3
SRR11808872:232180.641900	3	3
SRR11808872:232300.612128	3	3
SRR11808872:2328300.611920	3	3
SRR11808872:232950.603624	3	3
