amplicon	linearized.dereplicate_SRR1808872.merged.fastq	total
SRR11808872:::79139:0:0:0:0.621702	4	4
SRR11808872:::79156:0:0:0:0.609039	4	4
SRR11808872:::79212:0:0:0:0.611525	4	4
SRR11808872:::79273:0:0:0:0.623688	4	4
SRR11808872:::79632:0:0:0:0.620611	4	4
SRR11808872:::80474:0:0:0:0.611232	4	4
SRR11808872:::80804:0:0:0:0.615148	4	4
SRR11808872:::80930:0:0:0:0.619728	4	4
SRR11808872:::81293:0:0:0:0.603252	4	4
SRR11808872:::85448:0:0:0:0.600568	4	4
SRR11808872:::86785:0:0:0:0.606286	4	4
SRR11808872:::8684:0:0:0:0.609324	4	4
SRR11808872:::87075:0:0:0:0.629810	4	4
SRR11808872:::87399:0:0:0:0.627922	4	4
SRR11808872:::87580:0:0:0:0.617741	4	4
SRR11808872:::90353:0:0:0:0.608524	4	4
SRR11808872:::96114:0:0:0:0.603359	4	4
SRR11808872:::9727:0:0:0:0.604185	4	4
SRR11808872:::98457:0:0:0:0.628235	4	4
SRR11808872:::98707:0:0:0:0.639412	4	4
SRR11808872:::100386:0:0:0:0.600327	3	3
SRR11808872:::100518:0:0:0:0.625353	3	3
SRR11808872:::100757:0:0:0:0.632171	3	3
SRR11808872:::101753:0:0:0:0.626609	3	3
SRR11808872:::102323:0:0:0:0.616021	3	3
SRR11808872:::10252:0:0:0:0.641652	3	3
SRR11808872:::10301:0:0:0:0.614642	3	3
SRR11808872:::104243:0:0:0:0.601381	3	3
SRR11808872:::104823:0:0:0:0.613322	3	3
SRR11808872:::104922:0:0:0:0.602690	3	3
SRR11808872:::108700:0:0:0:0.619164	3	3
SRR11808872:::110191:0:0:0:0.634317	3	3
SRR11808872:::111661:0:0:0:0.600201	3	3
SRR11808872:::112525:0:0:0:0.600430	3	3
SRR11808872:::11303:0:0:0:0.636273	3	3
SRR11808872:::113047:0:0:0:0.614162	3	3
SRR11808872:::114106:0:0:0:0.637596	3	3
SRR11808872:::115332:0:0:0:0.644079	3	3
SRR11808872:::115530:0:0:0:0.620590	3	3
SRR11808872:::115713:0:0:0:0.601985	3	3
SRR11808872:::116882:0:0:0:0.606497	3	3
SRR11808872:::116986:0:0:0:0.633070	3	3
SRR11808872:::118129:0:0:0:0.619746	3	3
SRR11808872:::118762:0:0:0:0.611465	3	3
SRR11808872:::118879:0:0:0:0.610125	3	3
SRR11808872:::120135:0:0:0:0.636381	3	3
SRR11808872:::121411:0:0:0:0.622264	3	3
SRR11808872:::12161:0:0:0:0.601831	3	3
SRR11808872:::122433:0:0:0:0.614937	3	3
SRR11808872:::123631:0:0:0:0.610895	3	3
SRR11808872:::125483:0:0:0:0.608307	3	3
SRR11808872:::12628:0:0:0:0.615556	3	3
SRR11808872:::127711:0:0:0:0.617326	3	3
SRR11808872:::128305:0:0:0:0.616555	3	3
SRR11808872:::12881:0:0:0:0.625450	3	3
SRR11808872:::129085:0:0:0:0.623040	3	3
SRR11808872:::129286:0:0:0:0.611165	3	3
SRR11808872:::129361:0:0:0:0.615116	3	3
SRR11808872:::129861:0:0:0:0.601093	3	3
SRR11808872:::129872:0:0:0:0.620699	3	3
SRR11808872:::13016:0:0:0:0.627986	3	3
SRR11808872:::13043:0:0:0:0.642270	3	3
SRR11808872:::131069:0:0:0:0.636440	3	3
SRR11808872:::132466:0:0:0:0.605148	3	3
SRR11808872:::13300:0:0:0:0.643707	3	3
SRR11808872:::133126:0:0:0:0.608245	3	3
SRR11808872:::133141:0:0:0:0.635718	3	3
SRR11808872:::133269:0:0:0:0.615810	3	3
SRR11808872:::133314:0:0:0:0.646003	3	3
SRR11808872:::133371:0:0:0:0.610471	3	3
SRR11808872:::133452:0:0:0:0.615287	3	3
SRR11808872:::133474:0:0:0:0.602635	3	3
SRR11808872:::13355:0:0:0:0.614205	3	3
SRR11808872:::133672:0:0:0:0.600757	3	3
SRR11808872:::133876:0:0:0:0.618518	3	3
SRR11808872:::133931:0:0:0:0.612536	3	3
SRR11808872:::135037:0:0:0:0.618958	3	3
SRR11808872:::135231:0:0:0:0.604662	3	3
SRR11808872:::135902:0:0:0:0.605609	3	3
SRR11808872:::136400:0:0:0:0.619790	3	3
SRR11808872:::136782:0:0:0:0.610472	3	3
SRR11808872:::137012:0:0:0:0.621983	3	3
SRR11808872:::137527:0:0:0:0.626621	3	3
SRR11808872:::137792:0:0:0:0.628191	3	3
SRR11808872:::138437:0:0:0:0.615729	3	3
SRR11808872:::138527:0:0:0:0.622897	3	3
SRR11808872:::138638:0:0:0:0.603713	3	3
SRR11808872:::138824:0:0:0:0.610496	3	3
SRR11808872:::138855:0:0:0:0.614002	3	3
SRR11808872:::139582:0:0:0:0.611662	3	3
SRR11808872:::139836:0:0:0:0.629315	3	3
SRR11808872:::140021:0:0:0:0.620895	3	3
SRR11808872:::140307:0:0:0:0.615803	3	3
SRR11808872:::142609:0:0:0:0.608560	3	3
SRR11808872:::143453:0:0:0:0.624196	3	3
SRR11808872:::143644:0:0:0:0.625743	3	3
SRR11808872:::144209:0:0:0:0.634238	3	3
SRR11808872:::145163:0:0:0:0.607494	3	3
SRR11808872:::145288:0:0:0:0.603635	3	3
SRR11808872:::146477:0:0:0:0.616280	3	3
SRR11808872:::146490:0:0:0:0.601160	3	3
SRR11808872:::146698:0:0:0:0.601706	3	3
SRR11808872:::146757:0:0:0:0.621733	3	3
SRR11808872:::146792:0:0:0:0.600104	3	3
SRR11808872:::147002:0:0:0:0.633464	3	3
SRR11808872:::147310:0:0:0:0.602098	3	3
SRR11808872:::147643:0:0:0:0.632023	3	3
SRR11808872:::14838:0:0:0:0.626842	3	3
SRR11808872:::148673:0:0:0:0.608643	3	3
SRR11808872:::149001:0:0:0:0.615413	3	3
SRR11808872:::149127:0:0:0:0.601813	3	3
SRR11808872:::15146:0:0:0:0.600505	3	3
SRR11808872:::151856:0:0:0:0.635452	3	3
SRR11808872:::152190:0:0:0:0.622868	3	3
SRR11808872:::152365:0:0:0:0.614153	3	3
SRR11808872:::153676:0:0:0:0.641586	3	3
SRR11808872:::154487:0:0:0:0.601794	3	3
SRR11808872:::155315:0:0:0:0.601646	3	3
SRR11808872:::156046:0:0:0:0.613351	3	3
SRR11808872:::15675:0:0:0:0.611286	3	3
SRR11808872:::156947:0:0:0:0.620634	3	3
SRR11808872:::157422:0:0:0:0.628388	3	3
SRR11808872:::157520:0:0:0:0.602058	3	3
SRR11808872:::158868:0:0:0:0.602823	3	3
SRR11808872:::159731:0:0:0:0.607735	3	3
SRR11808872:::159794:0:0:0:0.639714	3	3
SRR11808872:::159878:0:0:0:0.618793	3	3
SRR11808872:::160176:0:0:0:0.609483	3	3
SRR11808872:::160805:0:0:0:0.622806	3	3
SRR11808872:::160875:0:0:0:0.606845	3	3
SRR11808872:::160932:0:0:0:0.606474	3	3
SRR11808872:::161879:0:0:0:0.602601	3	3
SRR11808872:::162556:0:0:0:0.607508	3	3
SRR11808872:::163761:0:0:0:0.601777	3	3
SRR11808872:::164272:0:0:0:0.602640	3	3
SRR11808872:::164386:0:0:0:0.611347	3	3
SRR11808872:::164410:0:0:0:0.626815	3	3
SRR11808872:::164564:0:0:0:0.627044	3	3
SRR11808872:::164573:0:0:0:0.616811	3	3
SRR11808872:::16477:0:0:0:0.601608	3	3
