amplicon	linearized.dereplicate_ERR1308201.merged.fastq	total
ERR1308201:::9661:0:0:0:0.625610	3	3
ERR1308201:::97522:0:0:0:0.601240	3	3
ERR1308201:::97580:0:0:0:0.607682	3	3
ERR1308201:::100111:0:0:0:0.610114	2	2
ERR1308201:::100156:0:0:0:0.615052	2	2
ERR1308201:::100582:0:0:0:0.603414	2	2
ERR1308201:::10076:0:0:0:0.601978	2	2
ERR1308201:::100787:0:0:0:0.620336	2	2
ERR1308201:::100794:0:0:0:0.608525	2	2
ERR1308201:::10087:0:0:0:0.614432	2	2
ERR1308201:::100889:0:0:0:0.609485	2	2
ERR1308201:::100905:0:0:0:0.604806	2	2
ERR1308201:::10096:0:0:0:0.601188	2	2
ERR1308201:::10101:0:0:0:0.613583	2	2
ERR1308201:::101388:0:0:0:0.603242	2	2
ERR1308201:::10163:0:0:0:0.608128	2	2
ERR1308201:::101705:0:0:0:0.602217	2	2
ERR1308201:::101871:0:0:0:0.615210	2	2
ERR1308201:::101888:0:0:0:0.606464	2	2
ERR1308201:::102294:0:0:0:0.613545	2	2
ERR1308201:::102501:0:0:0:0.600306	2	2
ERR1308201:::102770:0:0:0:0.604223	2	2
ERR1308201:::102933:0:0:0:0.618080	2	2
ERR1308201:::103068:0:0:0:0.612617	2	2
ERR1308201:::103380:0:0:0:0.622597	2	2
ERR1308201:::10363:0:0:0:0.604007	2	2
ERR1308201:::10364:0:0:0:0.604299	2	2
ERR1308201:::103966:0:0:0:0.608562	2	2
ERR1308201:::10402:0:0:0:0.612298	2	2
ERR1308201:::104121:0:0:0:0.617356	2	2
ERR1308201:::10463:0:0:0:0.604491	2	2
ERR1308201:::10478:0:0:0:0.623497	2	2
ERR1308201:::104980:0:0:0:0.616554	2	2
ERR1308201:::10501:0:0:0:0.633213	2	2
ERR1308201:::105642:0:0:0:0.622387	2	2
ERR1308201:::10573:0:0:0:0.624392	2	2
ERR1308201:::10631:0:0:0:0.604886	2	2
ERR1308201:::10649:0:0:0:0.617706	2	2
ERR1308201:::106713:0:0:0:0.608892	2	2
ERR1308201:::10698:0:0:0:0.637420	2	2
ERR1308201:::106985:0:0:0:0.606072	2	2
ERR1308201:::10724:0:0:0:0.633837	2	2
ERR1308201:::107705:0:0:0:0.621736	2	2
ERR1308201:::107707:0:0:0:0.622447	2	2
ERR1308201:::107724:0:0:0:0.606383	2	2
ERR1308201:::10799:0:0:0:0.637081	2	2
ERR1308201:::10803:0:0:0:0.614274	2	2
ERR1308201:::10832:0:0:0:0.608460	2	2
ERR1308201:::108371:0:0:0:0.619289	2	2
ERR1308201:::10848:0:0:0:0.604950	2	2
ERR1308201:::108510:0:0:0:0.610772	2	2
ERR1308201:::10856:0:0:0:0.604687	2	2
ERR1308201:::108638:0:0:0:0.608459	2	2
ERR1308201:::108748:0:0:0:0.607291	2	2
ERR1308201:::108803:0:0:0:0.624929	2	2
ERR1308201:::108835:0:0:0:0.601132	2	2
ERR1308201:::108889:0:0:0:0.600773	2	2
ERR1308201:::10892:0:0:0:0.622636	2	2
ERR1308201:::10924:0:0:0:0.615315	2	2
ERR1308201:::10938:0:0:0:0.612427	2	2
ERR1308201:::10954:0:0:0:0.609671	2	2
ERR1308201:::110310:0:0:0:0.601383	2	2
ERR1308201:::11043:0:0:0:0.612618	2	2
ERR1308201:::11082:0:0:0:0.631654	2	2
ERR1308201:::110826:0:0:0:0.606640	2	2
ERR1308201:::11094:0:0:0:0.638965	2	2
ERR1308201:::11095:0:0:0:0.611597	2	2
ERR1308201:::111069:0:0:0:0.612662	2	2
ERR1308201:::111297:0:0:0:0.601215	2	2
ERR1308201:::111495:0:0:0:0.625024	2	2
ERR1308201:::111507:0:0:0:0.604641	2	2
ERR1308201:::11161:0:0:0:0.603800	2	2
ERR1308201:::111717:0:0:0:0.626312	2	2
ERR1308201:::111803:0:0:0:0.602600	2	2
ERR1308201:::11187:0:0:0:0.602030	2	2
ERR1308201:::111897:0:0:0:0.629871	2	2
ERR1308201:::112453:0:0:0:0.608085	2	2
ERR1308201:::11348:0:0:0:0.604126	2	2
ERR1308201:::11402:0:0:0:0.611039	2	2
ERR1308201:::11430:0:0:0:0.613545	2	2
ERR1308201:::11463:0:0:0:0.600743	2	2
ERR1308201:::11508:0:0:0:0.613629	2	2
ERR1308201:::115703:0:0:0:0.605583	2	2
ERR1308201:::11588:0:0:0:0.600830	2	2
ERR1308201:::11593:0:0:0:0.625881	2	2
ERR1308201:::115953:0:0:0:0.614529	2	2
ERR1308201:::116150:0:0:0:0.600933	2	2
ERR1308201:::116188:0:0:0:0.602162	2	2
ERR1308201:::116328:0:0:0:0.603480	2	2
ERR1308201:::116412:0:0:0:0.606370	2	2
ERR1308201:::116534:0:0:0:0.616874	2	2
ERR1308201:::116635:0:0:0:0.616245	2	2
ERR1308201:::1171:0:0:0:0.613917	2	2
ERR1308201:::117379:0:0:0:0.603681	2	2
ERR1308201:::11744:0:0:0:0.615764	2	2
ERR1308201:::117523:0:0:0:0.600691	2	2
ERR1308201:::11763:0:0:0:0.619399	2	2
ERR1308201:::11799:0:0:0:0.600431	2	2
ERR1308201:::11834:0:0:0:0.615878	2	2
ERR1308201:::11856:0:0:0:0.633027	2	2
ERR1308201:::118576:0:0:0:0.607303	2	2
ERR1308201:::11884:0:0:0:0.608726	2	2
ERR1308201:::11924:0:0:0:0.608243	2	2
ERR1308201:::11938:0:0:0:0.612751	2	2
ERR1308201:::11978:0:0:0:0.619689	2	2
ERR1308201:::11984:0:0:0:0.628857	2	2
ERR1308201:::120861:0:0:0:0.611665	2	2
ERR1308201:::121202:0:0:0:0.609560	2	2
ERR1308201:::12167:0:0:0:0.616021	2	2
ERR1308201:::122130:0:0:0:0.622153	2	2
ERR1308201:::122219:0:0:0:0.605006	2	2
ERR1308201:::123104:0:0:0:0.603054	2	2
ERR1308201:::123272:0:0:0:0.612589	2	2
ERR1308201:::124213:0:0:0:0.609005	2	2
ERR1308201:::124476:0:0:0:0.600512	2	2
ERR1308201:::124572:0:0:0:0.607311	2	2
ERR1308201:::124686:0:0:0:0.603945	2	2
ERR1308201:::124753:0:0:0:0.610353	2	2
ERR1308201:::124820:0:0:0:0.600855	2	2
ERR1308201:::12483:0:0:0:0.622122	2	2
ERR1308201:::125645:0:0:0:0.600844	2	2
ERR1308201:::125723:0:0:0:0.602994	2	2
ERR1308201:::125733:0:0:0:0.606851	2	2
ERR1308201:::125897:0:0:0:0.600598	2	2
