amplicon	ERR1308201	total
ERR1308201:100960.601188	2	2
ERR1308201:101010.613583	2	2
ERR1308201:1013880.603242	2	2
ERR1308201:101630.608128	2	2
ERR1308201:1017050.602217	2	2
ERR1308201:1018710.615210	2	2
ERR1308201:1018880.606464	2	2
ERR1308201:1022940.613545	2	2
ERR1308201:1025010.600306	2	2
ERR1308201:1027700.604223	2	2
ERR1308201:1029330.618080	2	2
ERR1308201:1030680.612617	2	2
ERR1308201:1033800.622597	2	2
ERR1308201:103630.604007	2	2
ERR1308201:103640.604299	2	2
ERR1308201:1039660.608562	2	2
ERR1308201:104020.612298	2	2
ERR1308201:1041210.617356	2	2
ERR1308201:104630.604491	2	2
ERR1308201:104780.623497	2	2
ERR1308201:1049800.616554	2	2
ERR1308201:105010.633213	2	2
ERR1308201:1056420.622387	2	2
ERR1308201:105730.624392	2	2
ERR1308201:106310.604886	2	2
ERR1308201:106490.617706	2	2
ERR1308201:1067130.608892	2	2
ERR1308201:106980.637420	2	2
ERR1308201:1069850.606072	2	2
ERR1308201:107240.633837	2	2
ERR1308201:1077050.621736	2	2
ERR1308201:1077070.622447	2	2
ERR1308201:1077240.606383	2	2
ERR1308201:107990.637081	2	2
ERR1308201:108030.614274	2	2
ERR1308201:108320.608460	2	2
ERR1308201:1083710.619289	2	2
ERR1308201:108480.604950	2	2
ERR1308201:1085100.610772	2	2
ERR1308201:108560.604687	2	2
ERR1308201:1086380.608459	2	2
ERR1308201:1087480.607291	2	2
ERR1308201:1088030.624929	2	2
ERR1308201:1088350.601132	2	2
ERR1308201:1088890.600773	2	2
ERR1308201:108920.622636	2	2
ERR1308201:109240.615315	2	2
ERR1308201:109380.612427	2	2
ERR1308201:109540.609671	2	2
ERR1308201:1103100.601383	2	2
ERR1308201:110430.612618	2	2
ERR1308201:110820.631654	2	2
ERR1308201:1108260.606640	2	2
ERR1308201:110940.638965	2	2
ERR1308201:110950.611597	2	2
ERR1308201:1110690.612662	2	2
ERR1308201:1112970.601215	2	2
ERR1308201:1114950.625024	2	2
