OTU	ERR0000001	classification
ERR1:1574660.640202	170	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
ERR1:1093410.664491	169	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Hexatrygonidae;Hexatrygon;Hexatrygon bickelli
ERR1:781720.683846	168	Eukaryota;Mollusca;Bivalvia;Veneroida;Galeommatidae;Galeomma;Galeomma turtoni
ERR1:1021300.693949	166	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Phoxinus;Phoxinus phoxinus
ERR1:1550690.655977	162	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupanodon;Clupanodon thrissa
ERR1:1790540.610991	161	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR1:1045530.697376	156	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Euglossa;Euglossa fuscifrons
ERR1:1013530.636651	155	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cobitidae;Lepidocephalus;Lepidocephalus thermalis
ERR1:1000510.623318	154	Eukaryota;Chordata;Amphibia;Caudata;Salamandridae;Laotriton;Laotriton laoensis
ERR1:1475210.676595	152	Eukaryota;Annelida;Polychaeta;Terebellida;Pectinariidae;Pectinaria;Pectinaria granulata
ERR1:240680.688529	152	Eukaryota;Arthropoda;Insecta;Trichoptera;Hydropsychidae;Hydropsyche;Hydropsyche siltalai
ERR1:1003930.697337	151	Eukaryota;Arthropoda;Arachnida;Scorpiones;Buthidae;Centruroides;Centruroides nigrovariatus
ERR1:1208390.727788	151	Eukaryota;Cnidaria;Anthozoa;Antipatharia;Antipathidae;Stichopathes;Stichopathes lutkeni
ERR1:1108450.671741	150	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
ERR1:1839320.708106	150	Eukaryota;Annelida;Hirudinida;Arhynchobdellida;Haemadipsidae;Neoterrabdella;Neoterrabdella australis
ERR1:51780.672925	150	Eukaryota;Chordata;Squamata;Agamidae;Phrynocephalus;Phrynocephalus guinanensis
ERR1:1011200.674155	148	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:92000.649777	148	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila haleakalae
ERR1:1075580.670876	145	Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Bothriocroton;Bothriocroton undatum
ERR1:1626620.672166	145	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Primnoidae;Fanellia;Fanellia medialis
ERR1:1433770.689158	144	Eukaryota;Chordata;Actinopteri;Siluriformes;Chacidae;Chaca;Chaca bankanensis
ERR1:195880.653666	143	Eukaryota;Porifera;Demospongiae;Hadromerida;Polymastiidae;Polymastia;Polymastia littoralis
ERR1:215420.685408	142	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya dubia
ERR1:1014690.729614	141	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Pyuridae;Pyura;Pyura gangelion
ERR1:1008700.644117	140	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cobitidae;Lepidocephalus;Lepidocephalus thermalis
ERR1:1013040.725964	140	Eukaryota;Platyhelminthes;Cestoda;Litobothriidea;Litobothriidae;Litobothrium;Litobothrium nickoli
ERR1:168350.655446	139	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:177250.658263	139	Eukaryota;Chordata;Actinopteri;Siluriformes;Chacidae;Chaca;Chaca bankanensis
ERR1:2033580.715677	139	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Caryophylliidae;Solenosmilia;Solenosmilia variabilis
ERR1:1027910.662023	137	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lophiogobius;Lophiogobius ocellicauda
ERR1:1007290.694111	135	Eukaryota;Chordata;Aves;Passeriformes;Phylloscopidae;Phylloscopus;Phylloscopus magnirostris
ERR1:1041280.639334	134	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:1047560.628597	134	Eukaryota;Arthropoda;Arachnida;Scorpiones;Bothriuridae;Brachistosternus;Brachistosternus kovariki
ERR1:1193850.667820	132	Eukaryota;Mollusca;Gastropoda;Siphonariidae;Siphonaria;Siphonaria gigas
ERR1:1311040.697174	132	Eukaryota;Chordata;Amphibia;Caudata;Salamandridae;Taricha;Taricha granulosa
ERR1:100380.716021	131	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR1:363550.717785	130	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR1:196960.671088	129	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Plexauridae;Euplexaura;Euplexaura crassa
ERR1:1005140.699162	125	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cobitidae;Lepidocephalus;Lepidocephalus thermalis
ERR1:1010650.703728	125	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Fungiacyathidae;Fungiacyathus;Fungiacyathus stephanus
ERR1:1007860.609496	123	Eukaryota;Chordata;Aves;Passeriformes;Thamnophilidae;Thamnophilus;Thamnophilus nigrocinereus
ERR1:189810.665254	122	Eukaryota;Arthropoda;Ostracoda;Myodocopida;Cypridinidae;Vargula;Vargula hilgendorfii
ERR1:747690.650975	122	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cobitidae;Lepidocephalus;Lepidocephalus thermalis
ERR1:1110120.670517	120	Eukaryota;Mollusca;Gastropoda;Lottiidae;Patelloida;Patelloida striata
ERR1:1014530.706960	117	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cobitidae;Lepidocephalus;Lepidocephalus thermalis
ERR1:1021290.716930	117	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
ERR1:1279650.669564	115	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas poecilorhyncha
ERR1:1041180.709748	113	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR1:1013390.709330	112	Eukaryota;Echinodermata;Crinoidea;Comatulida;Charitometridae;Crinometra;Crinometra brevipinna
ERR1:1007870.691011	110	Eukaryota;Nematoda;Chromadorea;Rhabditida;Angiostrongylidae;Gurltia;Gurltia paralysans
ERR1:1013820.668269	109	Eukaryota;Chordata;Actinopteri;Albuliformes;Albulidae;Pterothrissus;Pterothrissus gissu
ERR1:21090.654193	109	Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Iwatanemertes;Iwatanemertes piperata
ERR1:682420.675862	109	Eukaryota;Porifera;Demospongiae;Haplosclerida;Lubomirskiidae;Rezinkovia;Rezinkovia echinata
