OTU	amplicon	ERR0000001	total
1006	ERR1:1023810.748213	2	2
1007	ERR1:1023830.654279	1	1
1009	ERR1:102390.703994	1	1
1010	ERR1:1023900.658629	1	1
1011	ERR1:1023910.684015	2	2
1012	ERR1:1023920.610026	1	1
1013	ERR1:1023950.670485	2	2
1014	ERR1:102400.664184	1	1
1015	ERR1:1024060.693225	1	1
1018	ERR1:1024150.635996	2	2
1019	ERR1:1024260.718232	1	1
1020	ERR1:1024290.663008	2	2
1025	ERR1:1024360.687016	2	2
1026	ERR1:1024410.718011	1	1
1027	ERR1:1024420.682953	1	1
1030	ERR1:1024520.725120	1	1
1032	ERR1:1024550.669281	1	1
1036	ERR1:1024640.659267	2	2
1037	ERR1:1024660.642756	1	1
1038	ERR1:1024680.670933	2	2
1039	ERR1:1024690.644549	2	2
1040	ERR1:1024710.633787	2	2
1042	ERR1:102480.698803	2	2
1044	ERR1:1024850.724840	1	1
1045	ERR1:1024860.658013	1	1
1046	ERR1:1024870.626541	1	1
1047	ERR1:1024880.640199	2	2
1049	ERR1:102510.684472	2	2
1050	ERR1:1025170.628353	2	2
1051	ERR1:1025190.691846	1	1
1054	ERR1:1025260.637146	1	1
1055	ERR1:1025270.704992	1	1
1058	ERR1:1025320.656915	1	1
1060	ERR1:1025410.659138	1	1
1062	ERR1:1025540.713154	1	1
1063	ERR1:1025550.660109	1	1
1065	ERR1:1025590.726430	2	2
1066	ERR1:1025610.671062	1	1
1067	ERR1:1025650.720925	1	1
1068	ERR1:1025680.711098	1	1
1070	ERR1:102570.654729	2	2
1071	ERR1:1025760.650994	1	1
1072	ERR1:1025810.687589	2	2
1073	ERR1:1025820.680653	1	1
1078	ERR1:102600.663461	1	1
1080	ERR1:1026060.607943	2	2
1083	ERR1:102620.661440	1	1
1084	ERR1:1026200.634038	1	1
1085	ERR1:1026230.694167	1	1
1092	ERR1:1026630.716466	2	2
1096	ERR1:1026760.661109	1	1
1098	ERR1:1026830.642093	1	1
1099	ERR1:1026860.708938	1	1
1100	ERR1:1026880.652793	1	1
1103	ERR1:1026920.730106	1	1
1104	ERR1:1026930.703417	1	1
1106	ERR1:1026960.730457	1	1
1109	ERR1:1027050.710605	1	1
1110	ERR1:1027080.621184	1	1
1115	ERR1:1027230.680977	1	1
